path,class,label,source_group,dataset_mode,grouping_strategy
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_bright_3.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_bright_9.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_flipped_0.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_flipped_6.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_rotated_1.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_rotated_7.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_sheared_11.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_sheared_5.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_shifted_2.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_shifted_8.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_zoomed_10.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00001_zoomed_4.jpg,Bacterial Spot,0,class0::bacterial_spot00001,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_bright_15.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
