epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.8778677462887989,0.8620965136549221,0.8515998401881578,0.8620965136549221,0.8548596869266067,0.969296615318334,0.8423105253730657,,0.8408543144134765,0.9878787878787879,0.9815384615384616,0.9723809523809525,0.9815384615384616,0.9766618566618567,0.9973508771929825,0.9839527339424136,,0.6154469599326452
2,0.00019999999999999998,0.9865047233468286,0.9846961035985485,0.976426501955037,0.9846961035985485,0.9803974724800018,0.9968688872504723,0.9824449256612341,,0.537433514569668,0.9939393939393939,0.9948717948717949,0.9875,0.9948717948717949,0.9909509844993716,0.9986666666666666,0.9920002341504924,,0.6112003674109777
3,0.0003,0.9912280701754386,0.9877812392195248,0.9833175505050505,0.9877812392195248,0.9854948242923405,0.9980199273399384,0.9885697074438599,,0.5254890417799036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5934957067171732
4,0.0003,0.9912280701754386,0.9892575980269912,0.9871595136310741,0.9892575980269912,0.9881795749143162,0.9978495143807177,0.9885561810940716,,0.5221122997872373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5808066676060358
5,0.0002994311073647159,0.9946018893387314,0.9905077642801032,0.9914961109670728,0.9905077642801032,0.9909982503162773,0.9986972788465949,0.9929516056538981,,0.5054049904042102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5738750447829565
6,0.0002977287590753251,0.9932523616734144,0.9904769619945386,0.9872050088810596,0.9904769619945386,0.9888201476624234,0.998468344308922,0.9911995067670933,,0.49808880750169143,0.9939393939393939,0.9948717948717949,0.9875,0.9948717948717949,0.9909509844993716,0.9986666666666666,0.9920002341504924,,0.5802516937255859
7,0.00029490591103021566,0.9959514170040485,0.9961849937343358,0.9914285714285714,0.9961849937343358,0.9937066524202512,0.9991097922848665,0.9947328686122856,,0.49161422506291813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5701493869225184
8,0.00029098404680749326,0.9946018893387314,0.9927477218994142,0.990491497765813,0.9927477218994142,0.991568846332002,0.9987365010787916,0.9929605557386855,,0.49245459919280193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.57349727054437
9,0.00028599301416197916,0.9993252361673415,0.9995061728395062,0.9995,0.9995061728395062,0.9995024683202581,0.9998153277931671,0.9991195482333742,,0.48096114650685734,0.9818181818181818,0.96,0.9625,0.96,0.957088122605364,0.9960526315789473,0.9762614279579892,,0.6186068654060364
10,0.00027997079786577355,0.9966261808367072,0.99499280219274,0.9930882352941175,0.99499280219274,0.9940290620554496,0.9992523242816163,0.9955979418709033,,0.48710477542369923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5666216810544332
11,0.0002729632306212043,0.9986504723346828,0.9972574626865672,0.9972574626865672,0.9972574626865672,0.9972574626865672,0.9997003461170693,0.9982379022237864,,0.4844748853368962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5639651219050089
