split,class_name,count
train,bacterial_spot,1054
train,cercospora_leaf_spot,1967
train,curl_virus,1451
train,healthy,1631
train,nutrient_deficiency,1275
train,powdery_mildew,715
validation,bacterial_spot,96
validation,cercospora_leaf_spot,242
validation,curl_virus,163
validation,healthy,175
validation,nutrient_deficiency,136
validation,powdery_mildew,87
test,bacterial_spot,277
test,cercospora_leaf_spot,548
test,curl_virus,391
test,healthy,462
test,nutrient_deficiency,367
test,powdery_mildew,203
