epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.6855600539811066,0.6682441930905206,0.6820255480088923,0.6682441930905206,0.650934232727256,0.9206513801956746,0.6075696265365651,,1.2444978102724602,0.9454545454545454,0.9277987421383648,0.9225563909774437,0.9277987421383648,0.914422371724352,0.98734335839599,0.929882368340342,,0.767543743054072
2,0.00019999999999999998,0.9642375168690959,0.9576056941171336,0.951367686869632,0.9576056941171336,0.9543211733829466,0.9911499496338315,0.9534648777141623,,0.6069980048118754,0.9878787878787879,0.9828930817610063,0.9807142857142856,0.9828930817610063,0.9812596333940725,0.9970969089390141,0.9839924209985385,,0.6046589811642965
3,0.0003,0.9959514170040485,0.9944989750322464,0.9923818889730522,0.9944989750322464,0.9934132025184004,0.9990730928970253,0.9947196845362127,,0.5105060021928016,0.9939393939393939,0.9866666666666667,0.9857142857142858,0.9866666666666667,0.9856960408684546,0.9986842105263157,0.9919910154916287,,0.5835500707228979
4,0.0003,0.9959514170040485,0.9962437343358396,0.9935754115283599,0.9962437343358396,0.9948914155028816,0.99903031900595,0.9947227048202139,,0.5118934619934001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5715716679890951
5,0.0002994311073647159,0.9966261808367072,0.9955334438916527,0.9947569309131762,0.9955334438916527,0.9951416953803246,0.999184127780714,0.9955972396136353,,0.4960168593741478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5695063372453054
6,0.0002977287590753251,0.9966261808367072,0.995753703288071,0.9957285824190769,0.995753703288071,0.995736656061417,0.9991503463707592,0.995598961588872,,0.4879541745845308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5652064979076385
7,0.00029490591103021566,0.9973009446693657,0.9962157960199004,0.9955303797994393,0.9962157960199004,0.9958695014720366,0.999363359165305,0.9964780137543281,,0.48646099516685976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5692546864350637
8,0.00029098404680749326,0.9966261808367072,0.9955260179193145,0.9950125747746036,0.9955260179193145,0.9952578975457703,0.999181209802828,0.9955977448072534,,0.4891256607593374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5677598665157954
9,0.00028599301416197916,0.9986504723346828,0.999004919706674,0.9970588235294118,0.999004919706674,0.9980203587010325,0.9997032640949556,0.9982402934176691,,0.4767294145644979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.565015897154808
10,0.00027997079786577355,0.9979757085020243,0.9974853762204017,0.9977356775089898,0.9974853762204017,0.997605796903921,0.9994818925002814,0.9973574055464915,,0.48238325562882933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5662993937730789
11,0.0002729632306212043,0.9979757085020243,0.998503666573842,0.9967568019741933,0.998503666573842,0.9976236432418576,0.9995181967545921,0.9973600968306375,,0.4851707080577282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5655958950519562
12,0.00026502364424628715,0.9986504723346828,0.9972574626865672,0.9972574626865672,0.9972574626865672,0.9972574626865672,0.9997003461170693,0.9982379022237864,,0.47960096661080703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5642167975505193
