epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.543859649122807,0.5486119236943757,0.5250393553313488,0.5486119236943757,0.5286080207169502,0.7661726997701342,0.296463368728015,0.7084845671153253,1.0826769740350786,0.8333333333333334,0.8691883372734437,0.8061999728666396,0.8691883372734437,0.817974624742328,0.9225874637492598,0.7503869459954504,0.960257246412473,1.0474209487438202
2,0.00019999999999999998,0.8513931888544891,0.8711478231915463,0.8278766336803071,0.8711478231915463,0.8409207867098201,0.9278626674212412,0.7720566630356892,,0.8706212870536312,0.9814814814814815,0.9858156028368795,0.9731457800511509,0.9858156028368795,0.9789896094243921,0.9910858063031975,0.970441507381989,0.9989483606659904,0.6580439507961273
3,0.0003,0.9628482972136223,0.9704614333888247,0.9492877797081153,0.9704614333888247,0.9586089257754127,0.9823625172049998,0.9415415901463694,,0.471037995430731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.42068080604076385
4,0.0003,0.9938080495356038,0.9950850361914519,0.9890204049099314,0.9950850361914519,0.9919675183066442,0.9973450152661623,0.9901261123916811,,0.38641866464768687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40620357543230057
5,0.0002994311073647159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3654625560006788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3973567299544811
6,0.0002977287590753251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.366709110236937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.394060593098402
7,0.00029490591103021566,0.9989680082559339,0.9991889699918897,0.9991666666666666,0.9991889699918897,0.999176802915947,0.9994152046783625,0.9983469072016237,,0.36271769481320537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3937676437199116
8,0.00029098404680749326,0.9979360165118679,0.9983535481038363,0.9983535481038363,0.9983535481038363,0.9983535481038363,0.998817833113249,0.9966903363970777,,0.3576499137186235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39024925231933594
9,0.00028599301416197916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35395144743304097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3901691921055317
10,0.00027997079786577355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35394229619733747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39009786397218704
11,0.0002729632306212043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3511162813632719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.38939735293388367
