epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.6312236286919831,0.630966590809882,0.626285129705721,0.630966590809882,0.5945343468293646,0.9112801616886484,0.5468613847775253,,1.4189146725754989,0.9318181818181818,0.9228070175438596,0.9178173972291621,0.9228070175438596,0.9080247681121891,0.983639455782313,0.9152595103592965,,1.1027162075042725
2,0.00019999999999999998,0.9527426160337553,0.9404519339397781,0.928179735392334,0.9404519339397781,0.9338994648593291,0.9885852362678001,0.9383279242027271,,0.7442668794017089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6168222308158875
3,0.0003,0.9898734177215189,0.9876785773888501,0.9866245764111676,0.9876785773888501,0.9871454468185267,0.9974434588163674,0.9867191812058813,,0.5658403987947264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5803495287895203
4,0.0003,0.9974683544303797,0.994392523364486,0.9970258620689656,0.994392523364486,0.9956636379908156,0.9993517230971554,0.9966837768813304,,0.5413051765216025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5763367891311646
5,0.0002994311073647159,0.9932489451476794,0.9937620861867027,0.9927072219158785,0.9937620861867027,0.9932284458236204,0.998233759446736,0.991147009515824,,0.5432301046032655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5758583813905715
6,0.0002977287590753251,0.9974683544303797,0.9968729794862752,0.996895696687746,0.9968729794862752,0.9968833873709146,0.9993498726068906,0.9966794016183371,,0.5353235759233174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5682452172040939
7,0.00029490591103021566,0.99915611814346,0.9993710691823899,0.9981481481481481,0.9993710691823899,0.9987548068119392,0.9998144712430428,0.9988940063958555,,0.518930290874682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.582469779253006
8,0.00029098404680749326,0.9966244725738397,0.9974782869122493,0.9952191909400053,0.9974782869122493,0.9963339046463833,0.9991597190978823,0.9955804453266768,,0.526280928599207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5583448112010956
9,0.00028599301416197916,0.99915611814346,0.9993710691823899,0.9981481481481481,0.9993710691823899,0.9987548068119392,0.9998144712430428,0.9988940063958555,,0.5195949132505217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5603043377399445
10,0.00027997079786577355,0.99915611814346,0.9993939393939394,0.9982758620689655,0.9993939393939394,0.9988307089976287,0.9998130841121495,0.99889401126749,,0.5201053980149721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5603188753128052
