epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.6924664602683178,0.7082406700771577,0.6760533040085672,0.7082406700771577,0.6743309087467689,0.8501386880183334,0.5385197322659415,,0.8492739489001613,0.9259259259259259,0.941371158392435,0.9328431372549019,0.941371158392435,0.9352371251530914,0.958298921057296,0.8824923334262615,,0.7097931206226349
2,0.00019999999999999998,0.9638802889576883,0.9673918533652223,0.9495201085173219,0.9673918533652223,0.9575816249377306,0.9828970075527329,0.9428605039867856,,0.4465857974944576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4311473220586777
3,0.0003,0.9969040247678018,0.9975425180957259,0.9950462051204362,0.9975425180957259,0.9962804048219801,0.9985795831673968,0.995045112424386,,0.38214142572495247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.42404845356941223
4,0.0003,0.9989680082559339,0.9991645781119466,0.9979166666666667,0.9991645781119466,0.9985368328724883,0.9995884773662551,0.9983476335221674,,0.3675556884657952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.413547620177269
5,0.0002994311073647159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3551239179026696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.39809298142790794
6,0.0002977287590753251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3586794512887155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3958705887198448
7,0.00029490591103021566,0.9989680082559339,0.9991889699918897,0.9991666666666666,0.9991889699918897,0.999176802915947,0.9994152046783625,0.9983469072016237,,0.35930847352550876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4033423140645027
8,0.00029098404680749326,0.9969040247678018,0.9975181262157827,0.9975443560846303,0.9975181262157827,0.9975302280270334,0.9982204615481356,0.9950371024320825,,0.35845942554935334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3934948965907097
9,0.00028599301416197916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35305369380981694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3951505199074745
10,0.00027997079786577355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3521329674028581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.39110299944877625
