split,class_name,count
train,bacterial_spot,1022
train,cercospora_leaf_spot,2011
train,curl_virus,1442
train,healthy,1629
train,nutrient_deficiency,1275
train,powdery_mildew,713
validation,bacterial_spot,107
validation,cercospora_leaf_spot,218
validation,curl_virus,166
validation,healthy,178
validation,nutrient_deficiency,153
validation,powdery_mildew,78
test,bacterial_spot,298
test,cercospora_leaf_spot,528
test,curl_virus,397
test,healthy,461
test,nutrient_deficiency,350
test,powdery_mildew,214
