epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.5814345991561182,0.5572325512883501,0.5428317373461012,0.5572325512883501,0.5341069874459267,0.8952070712471103,0.46883946669476045,,1.402310035730663,0.7803030303030303,0.741186299081036,0.8317619047619047,0.741186299081036,0.7453996983408748,0.942521603235889,0.7377447817966738,,1.013521933555603
2,0.00019999999999999998,0.9265822784810127,0.9172453989386822,0.89012008952873,0.9172453989386822,0.9015277619414392,0.9825519655732349,0.9048987986785353,,0.7508165804963363,0.9166666666666666,0.875187969924812,0.9323232323232323,0.875187969924812,0.8943074943074943,0.9779251700680271,0.8962487209152884,,0.7614628911018372
3,0.0003,0.9738396624472574,0.9710378380173601,0.9596963303873849,0.9710378380173601,0.9651100035714675,0.9936802978249368,0.9658089875386587,,0.6031005092357334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5995056092739105
4,0.0003,0.9890295358649789,0.9857925381161066,0.9813846765629369,0.9857925381161066,0.9835446859803383,0.9973984734224521,0.9856339601483908,,0.5608832891050138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5942637324333191
5,0.0002994311073647159,0.9957805907172996,0.996837376460018,0.9922805569840559,0.996837376460018,0.9945221905283068,0.9990244302028872,0.9944770524268427,,0.5515835269501335,0.9924242424242424,0.9904761904761905,0.9846153846153847,0.9904761904761905,0.9871219512195122,0.9983333333333334,0.9903093907585844,,0.5937463879585266
6,0.0002977287590753251,0.9966244725738397,0.996289789091764,0.9951448609804456,0.996289789091764,0.9957112494917455,0.9991669897902238,0.9955751072232321,,0.5438580081651085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5801187932491303
7,0.00029490591103021566,0.99915611814346,0.9993710691823899,0.9993957703927492,0.9993710691823899,0.9993824675092619,0.9997660818713451,0.9988937568066786,,0.5332154647300118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5758840441703796
8,0.00029098404680749326,0.99915611814346,0.9993710691823899,0.999367088607595,0.9993710691823899,0.9993680821593023,0.9997701149425288,0.9988937722384169,,0.5317112364267048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5636341512203217
9,0.00028599301416197916,0.99915611814346,0.9993939393939394,0.9993730407523511,0.9993939393939394,0.9993825381208863,0.9997693194925029,0.9988937815914251,,0.5255836020959052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5643296390771866
10,0.00027997079786577355,0.99915611814346,0.9993650793650793,0.9993957703927492,0.9993650793650793,0.9993794631153357,0.9997660818713451,0.9988937537438235,,0.5287715659329766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5653068423271179
11,0.0002729632306212043,0.9983122362869198,0.9987590187590187,0.9987590187590187,0.9987590187590187,0.9987590187590187,0.9995361968138738,0.9977856717076115,,0.5184206695933091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5611208319664002
