epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.4171003717472119,0.4889856680205236,0.4487731520576479,0.4889856680205236,0.4167327792519133,0.7232181708730104,0.1830492393284677,,1.0583892131960668,0.5933333333333334,0.5683688739244295,0.6266456844585472,0.5683688739244295,0.5695182698278674,0.7818915553469329,0.3506029034490737,0.7397101698419606,1.0358754992485046
2,0.00019999999999999998,0.675092936802974,0.7182671466824108,0.6414749887879342,0.7182671466824108,0.6564979077626418,0.8415028169940607,0.5041751316834188,,0.8322037901989249,0.6666666666666666,0.5794986906098017,0.7549363605091161,0.5794986906098017,0.5442072166210097,0.8023137554030003,0.4399350292594281,,0.9585989594459534
3,0.0003,0.7925650557620818,0.8181948452440873,0.7463525264561524,0.8181948452440873,0.7699263898232291,0.9006743456865293,0.668868284314919,,0.7044543956601342,0.68,0.6980920314253648,0.6813492063492063,0.6980920314253648,0.6625667168732862,0.8509391278269997,0.535289471604011,,0.8897655487060547
4,0.0003,0.8438661710037175,0.865791738906887,0.8016853567365513,0.865791738906887,0.8263395694695975,0.9235436245553114,0.7430096626790739,,0.6160125191821608,0.78,0.7777777777777777,0.796031746031746,0.7777777777777777,0.7673396948557207,0.8903101305847301,0.6612252766414828,,0.9196205139160156
5,0.0002994311073647159,0.8907063197026023,0.9026772405737166,0.8529439253185259,0.9026772405737166,0.8740634966949178,0.9466076098017518,0.8147384628625631,,0.5562925442706707,0.78,0.745230078563412,0.7478174603174604,0.745230078563412,0.7436097600032027,0.8831322080749997,0.6370545284071677,,0.8601263165473938
6,0.0002977287590753251,0.9174721189591079,0.929864145711505,0.8887163457887143,0.929864145711505,0.9070566404020822,0.9583260537076717,0.8579011201428831,,0.5161526431871015,0.7866666666666666,0.7082865693976804,0.8035714285714285,0.7082865693976804,0.7272545889864327,0.8665369294659913,0.6401684181479794,0.9028440506955636,0.8521732687950134
7,0.00029490591103021566,0.9338289962825279,0.9411760447542384,0.9093934744964339,0.9411760447542384,0.9240173791209334,0.9663744254815955,0.8846556842638109,,0.5169246882893318,0.8466666666666667,0.8428731762065095,0.8356522030940635,0.8428731762065095,0.8363137097314312,0.917792902918761,0.7506934828967421,,0.7206678628921509
8,0.00029098404680749326,0.9382899628252788,0.9513137467567234,0.9117365942792888,0.9513137467567234,0.9293755729768968,0.9706197604053447,0.8937704724326582,,0.4873563418554705,0.8,0.7730078563411897,0.7999725069714465,0.7730078563411897,0.775447859974104,0.8877153865712218,0.6707267920506809,,0.7722154021263122
9,0.00028599301416197916,0.950185873605948,0.961640974954893,0.9274254542812828,0.961640974954893,0.9431385241900343,0.9764513372066496,0.9137303431326852,,0.456185252860535,0.8133333333333334,0.7862888140665918,0.785447063224841,0.7862888140665918,0.7849346931472535,0.899808979900513,0.6907923860115095,,0.8517206072807312
10,0.00027997079786577355,0.958364312267658,0.96158603327925,0.9414700967391522,0.96158603327925,0.9509580435916694,0.9785731839754924,0.9261667494200461,,0.45817859644113584,0.8533333333333334,0.8486719042274599,0.8385994087213599,0.8486719042274599,0.8422783967087765,0.9226238207931572,0.7608807676406014,0.9440886867681512,0.7196581840515137
11,0.0002729632306212043,0.9687732342007435,0.9753227478721275,0.952829120092585,0.9753227478721275,0.9635111775891215,0.9854334525450438,0.945058039802704,,0.4509466110273849,0.8266666666666667,0.8159371492704827,0.8135751379422266,0.8159371492704827,0.8120098039215686,0.9058068806352559,0.7160164336046434,,0.7611012101173401
12,0.00026502364424628715,0.9732342007434944,0.9764377952416705,0.9636553035184744,0.9764377952416705,0.9698461637106058,0.9862025358097458,0.9522429359595748,,0.44183320292206696,0.8266666666666667,0.7715114104002992,0.8607281724991163,0.7715114104002992,0.7879358406526037,0.8934655479277905,0.7124438559330808,0.9253614948536127,0.7779331803321838
13,0.00025621246378738883,0.9776951672862454,0.979039251488495,0.9662874406045194,0.979039251488495,0.972487646130577,0.9894336007579301,0.9601935020142744,,0.4408581568751224,0.82,0.7818930041152262,0.8034934831632458,0.7818930041152262,0.789869387459749,0.8985442051803608,0.6983296951690663,,0.7644603312015533
14,0.0002465967476481376,0.9814126394052045,0.9818068997662946,0.9740507721658241,0.9818068997662946,0.9778579686098684,0.9903192689742492,0.9666227633253073,,0.43457774506058805,0.8266666666666667,0.7919940142162364,0.8354340704340705,0.7919940142162364,0.8080440204636273,0.8955224367123681,0.7082551619183495,,0.7426289916038513
