split,class_name,count
train,bacterial_spot,1016
train,cercospora_leaf_spot,1972
train,curl_virus,1452
train,healthy,1639
train,nutrient_deficiency,1284
train,powdery_mildew,729
validation,bacterial_spot,113
validation,cercospora_leaf_spot,219
validation,curl_virus,153
validation,healthy,195
validation,nutrient_deficiency,142
validation,powdery_mildew,78
test,bacterial_spot,298
test,cercospora_leaf_spot,566
test,curl_virus,400
test,healthy,434
test,nutrient_deficiency,352
test,powdery_mildew,198
