experiment,scenario,model_display,completed_runs
multisource,A+B->C,ChilliLite-GFNet,1
multisource,A+B->C,DenseNet121,1
multisource,A+B->C,EfficientNet-B0,1
multisource,A+B->C,MobileNetV2,1
multisource,A+B->C,MobileNetV3-Small,1
multisource,A+B->C,ResNet50,1
multisource,A+B->C,ShuffleNetV2,1
multisource,A+B->C,Swin-Tiny,1
multisource,A+C->B,ChilliLite-GFNet,1
multisource,A+C->B,DenseNet121,1
multisource,A+C->B,EfficientNet-B0,1
multisource,A+C->B,MobileNetV2,1
multisource,A+C->B,MobileNetV3-Small,1
multisource,A+C->B,ResNet50,1
multisource,A+C->B,ShuffleNetV2,1
multisource,A+C->B,Swin-Tiny,1
multisource,B+C->A,ChilliLite-GFNet,1
multisource,B+C->A,DenseNet121,1
multisource,B+C->A,EfficientNet-B0,1
multisource,B+C->A,MobileNetV2,1
multisource,B+C->A,MobileNetV3-Small,1
multisource,B+C->A,ResNet50,1
multisource,B+C->A,ShuffleNetV2,1
multisource,B+C->A,Swin-Tiny,1
pairwise,A->B,ChilliLite-GFNet,1
pairwise,A->B,DenseNet121,1
pairwise,A->B,EfficientNet-B0,1
pairwise,A->B,EfficientNet-B4,1
pairwise,A->B,MobileNetV2,2
pairwise,A->B,MobileNetV3-Small,2
pairwise,A->B,ResNet50,1
pairwise,A->B,ShuffleNetV2,2
pairwise,A->B,Swin-Tiny,1
pairwise,A->C,ChilliLite-GFNet,1
pairwise,A->C,DenseNet121,1
pairwise,A->C,EfficientNet-B0,1
pairwise,A->C,EfficientNet-B4,1
pairwise,A->C,MobileNetV2,2
pairwise,A->C,MobileNetV3-Small,2
pairwise,A->C,ResNet50,1
pairwise,A->C,ShuffleNetV2,2
pairwise,A->C,Swin-Tiny,1
pairwise,B->A,ChilliLite-GFNet,1
pairwise,B->A,DenseNet121,1
pairwise,B->A,EfficientNet-B0,1
pairwise,B->A,EfficientNet-B4,1
pairwise,B->A,MobileNetV2,2
pairwise,B->A,MobileNetV3-Small,2
pairwise,B->A,ResNet50,1
pairwise,B->A,ShuffleNetV2,2
pairwise,B->A,Swin-Tiny,1
pairwise,B->C,ChilliLite-GFNet,1
pairwise,B->C,DenseNet121,1
pairwise,B->C,EfficientNet-B0,1
pairwise,B->C,EfficientNet-B4,1
pairwise,B->C,MobileNetV2,2
pairwise,B->C,MobileNetV3-Small,2
pairwise,B->C,ResNet50,1
pairwise,B->C,ShuffleNetV2,1
pairwise,B->C,Swin-Tiny,1
pairwise,C->A,ChilliLite-GFNet,1
pairwise,C->A,DenseNet121,1
pairwise,C->A,EfficientNet-B0,1
pairwise,C->A,EfficientNet-B4,1
pairwise,C->A,MobileNetV2,2
pairwise,C->A,MobileNetV3-Small,2
pairwise,C->A,ResNet50,1
pairwise,C->A,ShuffleNetV2,2
pairwise,C->A,Swin-Tiny,1
pairwise,C->B,ChilliLite-GFNet,1
pairwise,C->B,DenseNet121,1
pairwise,C->B,EfficientNet-B0,1
pairwise,C->B,EfficientNet-B4,1
pairwise,C->B,MobileNetV2,2
pairwise,C->B,MobileNetV3-Small,2
pairwise,C->B,ResNet50,1
pairwise,C->B,ShuffleNetV2,1
pairwise,C->B,Swin-Tiny,1
pooled_cv,A+B+C_pooled,ChilliLite-GFNet,5
pooled_cv,A+B+C_pooled,DenseNet121,5
pooled_cv,A+B+C_pooled,EfficientNet-B0,5
pooled_cv,A+B+C_pooled,MobileNetV2,5
pooled_cv,A+B+C_pooled,MobileNetV3-Small,5
pooled_cv,A+B+C_pooled,ResNet50,5
pooled_cv,A+B+C_pooled,ShuffleNetV2,5
pooled_cv,A+B+C_pooled,Swin-Tiny,5
within_cv,A_within,ChilliLite-GFNet,5
within_cv,A_within,DenseNet121,5
within_cv,A_within,EfficientNet-B0,5
within_cv,A_within,EfficientNet-B4,5
within_cv,A_within,MobileNetV2,5
within_cv,A_within,MobileNetV3-Small,5
within_cv,A_within,ResNet50,5
within_cv,A_within,ShuffleNetV2,5
within_cv,A_within,Swin-Tiny,5
within_cv,B_within,ChilliLite-GFNet,5
within_cv,B_within,DenseNet121,5
within_cv,B_within,EfficientNet-B0,5
within_cv,B_within,EfficientNet-B4,5
within_cv,B_within,MobileNetV2,5
within_cv,B_within,MobileNetV3-Small,5
within_cv,B_within,ResNet50,5
within_cv,B_within,ShuffleNetV2,5
within_cv,B_within,Swin-Tiny,5
within_cv,C_within,ChilliLite-GFNet,5
within_cv,C_within,DenseNet121,5
within_cv,C_within,EfficientNet-B0,5
within_cv,C_within,EfficientNet-B4,5
within_cv,C_within,MobileNetV2,5
within_cv,C_within,MobileNetV3-Small,5
within_cv,C_within,ResNet50,5
within_cv,C_within,ShuffleNetV2,5
within_cv,C_within,Swin-Tiny,5
