Scenario,Model,Runs,test_accuracy,test_macro_f1,test_mcc,test_auc_ovr_macro,Parameters (M)
A->B,ChilliLite-GFNet,1,0.4399,0.3965,0.3815,--,1.154679
A->B,DenseNet121,1,0.4541,0.3839,0.3776,--,6.958981
A->B,EfficientNet-B0,1,0.3515,0.2641,0.2264,--,4.013953
A->B,EfficientNet-B4,1,0.4299,0.3516,0.3481,--,17.557581
A->B,MobileNetV2,2,0.4395 ± 0.0308,0.3725 ± 0.0382,0.3500 ± 0.0385,--,2.230277
A->B,MobileNetV3-Small,2,0.4249 ± 0.0165,0.3659 ± 0.0347,0.3293 ± 0.0250,--,1.522981
A->B,ResNet50,1,0.4558,0.4022,0.3943,--,23.518277
A->B,ShuffleNetV2,2,0.4723 ± 0.0163,0.4079 ± 0.0205,0.3971 ± 0.0246,--,1.258729
A->B,Swin-Tiny,1,0.5415,0.5167,0.5017,--,27.523199
A->C,ChilliLite-GFNet,1,0.5425,0.4888,0.2237,--,1.154517
A->C,DenseNet121,1,0.5605,0.4079,0.1306,--,6.956931
A->C,EfficientNet-B0,1,0.4087,0.3745,0.1019,--,4.011391
A->C,EfficientNet-B4,1,0.5645,0.3983,0.1109,--,17.553995
A->C,MobileNetV2,2,0.4936 ± 0.0634,0.3784 ± 0.0363,0.1305 ± 0.0242,--,2.227715
A->C,MobileNetV3-Small,2,0.4860 ± 0.0345,0.4498 ± 0.0496,0.2556 ± 0.0187,--,1.520931
A->C,ResNet50,1,0.5264,0.3698,0.0601,--,23.514179
A->C,ShuffleNetV2,2,0.5763 ± 0.0033,0.3702 ± 0.0022,0.0980 ± 0.0064,0.5850,1.256679
A->C,Swin-Tiny,1,0.5826,0.5071,0.2917,--,27.521661
B->A,ChilliLite-GFNet,1,0.4833,0.4260,0.3723,--,1.154679
B->A,DenseNet121,1,0.4681,0.3785,0.3589,--,6.958981
B->A,EfficientNet-B0,1,0.6758,0.5810,0.5920,--,4.013953
B->A,EfficientNet-B4,1,0.8172,0.6954,0.7738,--,17.557581
B->A,MobileNetV2,2,0.6515 ± 0.1168,0.5808 ± 0.0662,0.5599 ± 0.1446,--,2.230277
B->A,MobileNetV3-Small,2,0.6038 ± 0.0700,0.5071 ± 0.0644,0.5178 ± 0.0867,--,1.522981
B->A,ResNet50,1,0.5197,0.4543,0.4240,--,23.518277
B->A,ShuffleNetV2,2,0.5140 ± 0.0416,0.4361 ± 0.0701,0.4115 ± 0.0333,--,1.258729
B->A,Swin-Tiny,1,0.4159,0.3741,0.2907,--,27.523199
B->C,ChilliLite-GFNet,1,0.2993,0.2804,0.0706,--,1.154598
B->C,DenseNet121,1,0.2963,0.3687,0.1865,--,6.957956
B->C,EfficientNet-B0,1,0.4804,0.3089,0.0963,--,4.012672
B->C,EfficientNet-B4,1,0.5419,0.3944,0.1647,--,17.555788
B->C,MobileNetV2,2,0.3905 ± 0.1084,0.3730 ± 0.1010,0.1772 ± 0.0791,--,2.228996
B->C,MobileNetV3-Small,2,0.2966 ± 0.0883,0.2960 ± 0.0647,0.0759 ± 0.0567,--,1.521956
B->C,ResNet50,1,0.2637,0.2901,0.1527,--,23.516228
B->C,ShuffleNetV2,1,0.3289,0.3357,0.1934,--,1.257704
B->C,Swin-Tiny,1,0.2553,0.3039,0.2306,--,27.52243
C->A,ChilliLite-GFNet,1,0.6007,0.5701,0.4303,--,1.154517
C->A,DenseNet121,1,0.6852,0.6453,0.4926,--,6.956931
C->A,EfficientNet-B0,1,0.7261,0.7074,0.5825,--,4.011391
C->A,EfficientNet-B4,1,0.8032,0.7841,0.6917,--,17.553995
C->A,MobileNetV2,2,0.6806 ± 0.0184,0.6179 ± 0.0398,0.4879 ± 0.0334,--,2.227715
C->A,MobileNetV3-Small,2,0.6351 ± 0.0341,0.6187 ± 0.0287,0.4408 ± 0.0360,--,1.520931
C->A,ResNet50,1,0.6221,0.5550,0.4173,--,23.514179
C->A,ShuffleNetV2,2,0.6509 ± 0.0394,0.6344 ± 0.0539,0.4908 ± 0.0350,--,1.256679
C->A,Swin-Tiny,1,0.7669,0.7290,0.6353,--,27.521661
C->B,ChilliLite-GFNet,1,0.4799,0.4452,0.3175,--,1.154598
C->B,DenseNet121,1,0.5485,0.5506,0.4115,--,6.957956
C->B,EfficientNet-B0,1,0.4162,0.3698,0.2037,--,4.012672
C->B,EfficientNet-B4,1,0.6279,0.6313,0.4938,--,17.555788
C->B,MobileNetV2,2,0.4873 ± 0.0425,0.4951 ± 0.0158,0.3299 ± 0.0804,--,2.228996
C->B,MobileNetV3-Small,2,0.3778 ± 0.0098,0.3507 ± 0.0016,0.2028 ± 0.0110,--,1.521956
C->B,ResNet50,1,0.4421,0.3805,0.3032,--,23.516228
C->B,ShuffleNetV2,1,0.5010,0.5002,0.3971,--,1.257704
C->B,Swin-Tiny,1,0.4829,0.3849,0.3658,--,27.52243
