Scenario,Model,Runs,test_accuracy,test_macro_f1,test_mcc,test_auc_ovr_macro,Parameters (M)
A_within,ChilliLite-GFNet,5,0.9879 ± 0.0071,0.9795 ± 0.0120,0.9841 ± 0.0094,0.9981 ± 0.0021,1.154679
A_within,DenseNet121,5,0.9909 ± 0.0103,0.9826 ± 0.0200,0.9882 ± 0.0132,--,6.958981
A_within,EfficientNet-B0,5,0.9945 ± 0.0050,0.9903 ± 0.0089,0.9929 ± 0.0065,--,4.013953
A_within,EfficientNet-B4,5,0.9933 ± 0.0045,0.9888 ± 0.0079,0.9913 ± 0.0058,--,17.557581
A_within,MobileNetV2,5,0.9909 ± 0.0071,0.9850 ± 0.0145,0.9882 ± 0.0091,--,2.230277
A_within,MobileNetV3-Small,5,0.9873 ± 0.0114,0.9791 ± 0.0184,0.9834 ± 0.0148,0.9999,1.522981
A_within,ResNet50,5,0.9873 ± 0.0136,0.9804 ± 0.0212,0.9834 ± 0.0177,--,23.518277
A_within,ShuffleNetV2,5,0.9939 ± 0.0030,0.9900 ± 0.0051,0.9921 ± 0.0040,0.9999,1.258729
A_within,Swin-Tiny,5,0.9903 ± 0.0089,0.9823 ± 0.0163,0.9874 ± 0.0117,--,27.523199
B_within,ChilliLite-GFNet,5,0.9768 ± 0.0050,0.9783 ± 0.0049,0.9720 ± 0.0060,--,1.15476
B_within,DenseNet121,5,0.9792 ± 0.0026,0.9810 ± 0.0021,0.9749 ± 0.0032,--,6.960006
B_within,EfficientNet-B0,5,0.9848 ± 0.0025,0.9862 ± 0.0021,0.9816 ± 0.0030,--,4.015234
B_within,EfficientNet-B4,5,0.9834 ± 0.0028,0.9846 ± 0.0026,0.9799 ± 0.0034,--,17.559374
B_within,MobileNetV2,5,0.9808 ± 0.0059,0.9824 ± 0.0056,0.9768 ± 0.0071,--,2.231558
B_within,MobileNetV3-Small,5,0.9831 ± 0.0048,0.9845 ± 0.0046,0.9796 ± 0.0058,--,1.524006
B_within,ResNet50,5,0.9821 ± 0.0026,0.9834 ± 0.0026,0.9783 ± 0.0031,--,23.520326
B_within,ShuffleNetV2,5,0.9817 ± 0.0025,0.9832 ± 0.0021,0.9779 ± 0.0030,--,1.259754
B_within,Swin-Tiny,5,0.9807 ± 0.0042,0.9820 ± 0.0039,0.9766 ± 0.0052,--,27.523968
C_within,ChilliLite-GFNet,5,0.7556 ± 0.0330,0.7456 ± 0.0311,0.6182 ± 0.0552,0.9009,1.154598
C_within,DenseNet121,5,0.8334 ± 0.0171,0.8263 ± 0.0260,0.7358 ± 0.0320,--,6.957956
C_within,EfficientNet-B0,5,0.8552 ± 0.0145,0.8405 ± 0.0183,0.7701 ± 0.0221,--,4.012672
C_within,EfficientNet-B4,5,0.7990 ± 0.0313,0.7872 ± 0.0328,0.6873 ± 0.0470,0.9422,17.555788
C_within,MobileNetV2,5,0.8063 ± 0.0397,0.7985 ± 0.0366,0.6995 ± 0.0611,--,2.228996
C_within,MobileNetV3-Small,5,0.8129 ± 0.0220,0.8015 ± 0.0236,0.7031 ± 0.0320,0.9539,1.521956
C_within,ResNet50,5,0.8497 ± 0.0170,0.8333 ± 0.0211,0.7611 ± 0.0233,--,23.516228
C_within,ShuffleNetV2,5,0.7960 ± 0.0117,0.7855 ± 0.0228,0.6804 ± 0.0243,--,1.257704
C_within,Swin-Tiny,5,0.8461 ± 0.0163,0.8362 ± 0.0248,0.7569 ± 0.0249,--,27.52243
