family,experiment,scenario,dataset,fold,n_splits,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path
proposed,within_cv,B_within,B,4,5,chilli_lite_gfnet,45,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1154760,1154760,30,0.9887017819044818,1157.1361293969967,427.46142578125,0.982356647763075,0.9847902019630849,0.984099763509664,0.9847902019630849,0.9843371862673201,0.9963815689579579,0.9785828670396414,,0.5060255253314971,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_45/fold_04/metrics.json
proposed,within_cv,B_within,B,2,5,chilli_lite_gfnet,43,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1154760,1154760,5,0.9770474491616864,408.4830195340037,428.40673828125,0.9710144927536232,0.9721251989031708,0.9733183415315266,0.9721251989031708,0.9725515934499773,0.9941168845671343,0.9649364752341345,,0.5336100542545319,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_43/fold_02/metrics.json
proposed,within_cv,B_within,B,3,5,chilli_lite_gfnet,44,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1154760,1154760,11,0.9773494190390527,584.2550396160223,427.46142578125,0.9747952110901071,0.9769744948433621,0.9753629437589253,0.9769744948433621,0.9759145320817969,0.9949172205830193,0.9696105331985048,,0.5261490470170975,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_44/fold_03/metrics.json
proposed,within_cv,B_within,B,1,5,chilli_lite_gfnet,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5713,635,1588,1154760,1154760,32,0.9909420184985742,1246.1900651650212,428.40673828125,0.9817380352644837,0.9807516946773985,0.98426851369184,0.9807516946773985,0.9823506946510553,0.9962226671227579,0.9779108907356224,,0.5020078074932098,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_42/fold_01/metrics.json
proposed,within_cv,B_within,B,5,5,chilli_lite_gfnet,46,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1154760,1154760,11,0.987718709779569,583.9242974469962,427.46142578125,0.9741650913673598,0.9768758632421993,0.9764171794768709,0.9768758632421993,0.9764930430356786,0.9947226088691941,0.9688200841098092,,0.5246667820215225,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_46/fold_05/metrics.json
proposed,within_cv,A_within,A,4,5,chilli_lite_gfnet,45,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1154679,1154679,4,1.0,52.478327614982845,427.46142578125,0.9817629179331308,0.967966903073286,0.9786774541531823,0.967966903073286,0.9729488953858165,0.9951768936181503,0.9760996520744548,0.9996220039926488,0.5913208723068237,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_45/fold_04/metrics.json
proposed,within_cv,A_within,A,2,5,chilli_lite_gfnet,43,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,1154679,1154679,5,0.9946052868189174,54.684527186997,422.943359375,0.9939393939393939,0.9865934065934067,0.9921580547112463,0.9865934065934067,0.9892946269416857,0.998478152041765,0.9920406283594964,,0.5645845559510317,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_43/fold_02/metrics.json
proposed,within_cv,A_within,A,3,5,chilli_lite_gfnet,44,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1154679,1154679,6,1.0,59.1547916130221,422.943359375,0.9969604863221885,0.9944444444444445,0.9949999999999999,0.9944444444444445,0.9946514530219289,0.9993103448275862,0.9960910510662325,,0.5660253966396506,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_44/fold_03/metrics.json
proposed,within_cv,A_within,A,1,5,chilli_lite_gfnet,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,1154679,1154679,5,1.0,57.58879106998211,422.943359375,0.9848484848484849,0.9732356532356533,0.9758615657948964,0.9732356532356533,0.974496684540212,0.9963446624795147,0.9802456419216766,0.9965872510110824,0.6002169495279138,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_42/fold_01/metrics.json
proposed,within_cv,A_within,A,5,5,chilli_lite_gfnet,46,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1154679,1154679,6,1.0,61.64431334999972,427.46142578125,0.9817629179331308,0.9624336743426684,0.9710714285714286,0.9624336743426684,0.9660511654280837,0.9956322926521601,0.9758869741615832,,0.5848234133286909,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_46/fold_05/metrics.json
