epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.7192982456140351,0.7327763700671595,0.7165513901029786,0.7327763700671595,0.7028396412103964,0.8597189908263291,0.5803508543631346,,0.84403633686804,0.9814814814814815,0.9855003940110323,0.9629629629629629,0.9855003940110323,0.9730626091200042,0.9927536231884058,0.9705736482165401,,0.5082582011818886
2,0.00019999999999999998,0.9876160990712074,0.987599260281724,0.979447958363621,0.987599260281724,0.983361528959167,0.9945167578444319,0.9802662696767651,,0.41409007868459147,0.9907407407407407,0.9925925925925926,0.9930555555555555,0.9925925925925926,0.9927459097181156,0.9945355191256832,0.9850788757724379,,0.4122021570801735
3,0.0003,0.9969040247678018,0.9975181262157827,0.9950481832424073,0.9975181262157827,0.996268115720533,0.9985795831673968,0.995046690730416,,0.371777618123639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4088810160756111
4,0.0003,0.9989680082559339,0.9979035639412999,0.9991666666666666,0.9979035639412999,0.9985312871373129,0.9994152046783625,0.9983462799353986,,0.36249771810347037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.40115808695554733
5,0.0002994311073647159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35145962334448294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39130960404872894
6,0.0002977287590753251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35627142652388544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888176158070564
7,0.00029490591103021566,0.9989680082559339,0.9991645781119466,0.9979166666666667,0.9991645781119466,0.9985368328724883,0.9995884773662551,0.9983476335221674,,0.3562280093469927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3902866169810295
8,0.00029098404680749326,0.9979360165118679,0.9983291562238931,0.9971076051779936,0.9983291562238931,0.9977125247063365,0.9989911058011417,0.9966968025167338,,0.35173113596054817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3900778107345104
9,0.00028599301416197916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.34817237815549296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3898489251732826
10,0.00027997079786577355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.349100858934464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3899393156170845
11,0.0002729632306212043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.34788238906091257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3904934599995613
