epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.4245353159851301,0.48377715675378336,0.4518101337388967,0.48377715675378336,0.41707205690852267,0.7246146548840063,0.18198974049333078,,1.0695239693619485,0.4866666666666667,0.5135615413393192,0.48666666666666664,0.5135615413393192,0.47857469287767085,0.7484239211928,0.24195785452082455,0.735728896950187,1.0503170013427734
2,0.00019999999999999998,0.6074349442379182,0.6737006870229497,0.595994127678964,0.6737006870229497,0.5953020430140877,0.8166034790938058,0.4332141120960956,,0.8910669975502546,0.6533333333333333,0.6678825289936401,0.6416083916083917,0.6678825289936401,0.6449771689497718,0.8202487824913454,0.4620879919189986,,0.8691447257995606
3,0.0003,0.7561338289962826,0.7923861773590989,0.7137989953886693,0.7923861773590989,0.7347589729638854,0.8854216463630187,0.6221535837453459,,0.7226752721986105,0.74,0.7368125701459034,0.723542075116288,0.7368125701459034,0.7197458455522971,0.869402230958295,0.5934979465266736,,0.8484606146812439
4,0.0003,0.8386617100371747,0.8675809570107659,0.7950981906014718,0.8675809570107659,0.8211240966556558,0.9243684370168607,0.7399580099455765,,0.6224375270133795,0.7466666666666667,0.724653946876169,0.7313308913308912,0.724653946876169,0.7191008172065002,0.8683623775156954,0.5925213831376142,,0.8820157170295715
5,0.0002994311073647159,0.8996282527881041,0.9180501876872781,0.8654148134288886,0.9180501876872781,0.8877630828079698,0.9512054130355857,0.8308299294619469,,0.5439688625723816,0.7666666666666667,0.7489711934156378,0.7493752110773387,0.7489711934156378,0.7431145346412974,0.879041248606466,0.6239693621628015,,0.8398072004318238
6,0.0002977287590753251,0.9159851301115242,0.9296228397799698,0.8840957644407905,0.9296228397799698,0.9040374425489288,0.9598850933859268,0.8567630459091738,,0.5205792181713637,0.78,0.7032360643471754,0.7941798941798942,0.7032360643471754,0.7318742985409652,0.8617060115915951,0.6252664156275296,,0.8567296743392945
7,0.00029490591103021566,0.9434944237918216,0.9503850636430724,0.9204109782655117,0.9503850636430724,0.9343043828429477,0.9720213547389905,0.9011951420875652,,0.5040074663106785,0.7666666666666667,0.7250280583613917,0.7536840554081934,0.7250280583613917,0.7332247284878864,0.863785718476794,0.6070927833936636,,0.8691489577293396
8,0.00029098404680749326,0.9568773234200744,0.9606406608292503,0.9388430531923343,0.9606406608292503,0.9491952628799787,0.9782382979244959,0.9237708774455919,,0.4865901387015054,0.7666666666666667,0.7275533108866442,0.7458134605193428,0.7275533108866442,0.7349271327393563,0.8676745747683962,0.6080419498964651,0.9051467787218699,0.8247583508491516
9,0.00028599301416197916,0.9620817843866171,0.9703253258040178,0.9470304515535517,0.9703253258040178,0.9580722758585519,0.9809698165219153,0.9332121128086541,,0.4554803392221761,0.8,0.7858211747100636,0.7666831736599179,0.7858211747100636,0.7736598322960103,0.8996818504827657,0.6780561451262854,,0.8124951720237732
10,0.00027997079786577355,0.9695167286245353,0.9752869323661316,0.9568743176122596,0.9752869323661316,0.9656947561181021,0.9847192125724792,0.9460182970209282,,0.45319479911826377,0.8,0.7592592592592592,0.7759672451356021,0.7592592592592592,0.7664565070317111,0.888015281607959,0.6640998410282031,0.917267902764555,0.7851919889450073
11,0.0002729632306212043,0.9650557620817843,0.9713816276605732,0.9490187017363517,0.9713816276605732,0.9596377967457981,0.9832010332872163,0.9384294117520894,,0.4439554256062175,0.8133333333333334,0.7743172465394688,0.7846320346320347,0.7743172465394688,0.7789196310935441,0.8978270648751199,0.6875116754642305,,0.771024203300476
12,0.00026502364424628715,0.9754646840148699,0.9791206060596984,0.9662572423517634,0.9791206060596984,0.9724875949311386,0.9874687604401599,0.9562449318501909,,0.44393675271854843,0.8333333333333334,0.779835390946502,0.8497282035768959,0.779835390946502,0.804542966611932,0.896464498295162,0.719088301526304,0.9241162249997744,0.7688077211380004
13,0.00025621246378738883,0.9806691449814127,0.9819730917972697,0.9717966661477094,0.9819730917972697,0.9767733251677534,0.9903517200371922,0.9653642786357326,,0.43901231954264086,0.8133333333333334,0.757201646090535,0.8111198945981554,0.757201646090535,0.7776285267770738,0.887842515988969,0.6836474700522706,,0.7812715530395508
