epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.6795952782462057,0.6721883468823666,0.6442911445663223,0.6721883468823666,0.6521595463610688,0.9183928546677163,0.5861909395981886,,1.3155979639605473,0.9393939393939394,0.9195031055900621,0.9046972105795634,0.9195031055900621,0.9075715134538663,0.9850144329896906,0.9222139220607868,0.9982781492527844,0.8652806162834168
2,0.00019999999999999998,0.9519392917369308,0.9465582333740489,0.9249449522837574,0.9465582333740489,0.9346882809695491,0.9885167052474906,0.9373232828305712,,0.7135289358465295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6196233808994294
3,0.0003,0.9856661045531198,0.9834851066669344,0.9740429482329194,0.9834851066669344,0.9785725626282902,0.9966680913284808,0.9812169470201177,,0.5597779868464721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5929704546928406
4,0.0003,0.9940978077571669,0.9921575886329205,0.9882440318302386,0.9921575886329205,0.9901567782760301,0.998656282895824,0.9922489419423288,,0.567616512116633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5943842768669129
5,0.0002994311073647159,0.9966273187183811,0.9947725122566389,0.994366267216946,0.9947725122566389,0.9945159603100577,0.9992036810761423,0.9955721810253367,,0.5272997398125497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5825875520706176
6,0.0002977287590753251,0.9974704890387859,0.9954261070278807,0.9970256355600373,0.9954261070278807,0.9962018696947101,0.9993532532453419,0.9966752146882213,,0.5424049724089471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5785149782896042
7,0.00029490591103021566,0.9983136593591906,0.9974063050476827,0.9974063050476827,0.9974063050476827,0.9974063050476827,0.9995831100632302,0.9977820540872105,,0.5107172515831495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5819471150636673
8,0.00029098404680749326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5029235333204269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5805275201797485
9,0.00028599301416197916,0.9983136593591906,0.9987730061349694,0.996116504854369,0.9987730061349694,0.9974238310708898,0.99963133640553,0.9977868040067223,,0.5058954224774712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5771086156368256
10,0.00027997079786577355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5075409828048003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5756864666938781
