epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.4757085020242915,0.44168144847331153,0.43839055594848625,0.44168144847331153,0.4306873319568295,0.8681253199243157,0.3323311574486699,0.7599078504878419,1.5836856999295823,0.7454545454545455,0.7658829221093372,0.7102989180267743,0.7658829221093372,0.7158645325179642,0.9384269005847953,0.6815118616754838,0.9391477607298363,1.5376576781272888
2,0.00019999999999999998,0.8279352226720648,0.8089849805899492,0.7956829436102828,0.8089849805899492,0.7983324679038589,0.9566925534440658,0.7790384482264896,,1.1749856636879292,0.9575757575757575,0.9715723270440252,0.9391850789096126,0.9715723270440252,0.9517280437451177,0.9897765246449458,0.9449338892061394,,0.8582249681154887
3,0.0003,0.9446693657219973,0.9377317789186896,0.9145692956038305,0.9377317789186896,0.9246344438670573,0.986994979226275,0.928551546440376,,0.6566722519854282,0.9939393939393939,0.9962264150943396,0.9857142857142858,0.9962264150943396,0.9906878306878306,0.9986842105263157,0.992007641929773,,0.6238400290409724
4,0.0003,0.979757085020243,0.9787098377508171,0.9683663037422463,0.9787098377508171,0.9732731388246861,0.9951825285435987,0.9737071751011046,,0.5676558157230945,0.9939393939393939,0.9962264150943396,0.9857142857142858,0.9962264150943396,0.9906878306878306,0.9986842105263157,0.992007641929773,,0.600659504532814
5,0.0002994311073647159,0.9939271255060729,0.9930026416060882,0.990864970788978,0.9930026416060882,0.9919059291899875,0.9985205703063595,0.9920780819585179,,0.5159377500097803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5849957366784414
6,0.0002977287590753251,0.9946018893387314,0.9932660856813122,0.9896967773578373,0.9932660856813122,0.9914499359738809,0.9987734390140945,0.992964476037771,,0.5140523504703602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5776626865069071
7,0.00029490591103021566,0.9966261808367072,0.9967058270676692,0.9960105337560213,0.9967058270676692,0.996353449142364,0.9991438767339945,0.9955982772794271,,0.4939744307639751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5770115305980047
8,0.00029098404680749326,0.9973009446693657,0.9979706790123457,0.9955543332110988,0.9979706790123457,0.9967504199739914,0.999363359165305,0.996480360672346,,0.4915870707085792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5699553489685059
9,0.00028599301416197916,0.9993252361673415,0.9985074626865671,0.9987577639751553,0.9985074626865671,0.9986278833700866,0.9998487140695914,0.9991195316076951,,0.4858719979194885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5685202727715174
10,0.00027997079786577355,0.9993252361673415,0.99875,0.9985185185185184,0.99875,0.9986295463285593,0.9998516320474777,0.9991195588077213,,0.48304798184557163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5676657656828562
11,0.0002729632306212043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4868467887665363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5651593506336212
12,0.00026502364424628715,0.9993252361673415,0.9994987468671679,0.9985185185185184,0.9994987468671679,0.99900556454735,0.9998516320474777,0.9991196960773014,,0.481923113477991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5682142972946167
13,0.00025621246378738883,0.9993252361673415,0.9985074626865671,0.9987577639751553,0.9985074626865671,0.9986278833700866,0.9998487140695914,0.9991195316076951,,0.4784800391247932,0.9939393939393939,0.9866666666666667,0.9857142857142858,0.9866666666666667,0.9856960408684546,0.9986842105263157,0.9919910154916287,,0.571283628543218
