epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.6936572199730094,0.6982996887256838,0.6850184263731196,0.6982996887256838,0.6652561713084562,0.926447509984895,0.6228689603414976,,1.2890807314121977,0.9575757575757575,0.9497435897435897,0.9347427766032418,0.9497435897435897,0.9409898483582694,0.9894636591478697,0.9440605759250384,,0.8828083276748657
2,0.00019999999999999998,0.9642375168690959,0.9533397552927371,0.947151978602399,0.9533397552927371,0.9501022058684094,0.9913412047294783,0.9534310502603528,,0.6198150502874497,0.9878787878787879,0.9897435897435898,0.9837962962962962,0.9897435897435898,0.9864160703235327,0.9968809523809524,0.9840355991318969,0.9998704110704111,0.6046158671379089
3,0.0003,0.9912280701754386,0.9892380178264899,0.9864275817788591,0.9892380178264899,0.9878060832102031,0.997882900657142,0.9885571697988313,,0.5191534580068385,0.9939393939393939,0.9948717948717949,0.9875,0.9948717948717949,0.9909509844993716,0.9986666666666666,0.9920002341504924,,0.5885876615842184
4,0.0003,0.9939271255060729,0.9945048635962486,0.9904025515046684,0.9945048635962486,0.9924096349962734,0.9985474869460192,0.9920955982507498,,0.5179185810241294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6089249650637308
5,0.0002994311073647159,0.9959514170040485,0.9955172653856863,0.9942814813747111,0.9955172653856863,0.9948831296550313,0.999000484388404,0.9947194722307208,,0.4989251025179599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5763044307629267
6,0.0002977287590753251,0.9973009446693657,0.9969915490599079,0.9962431401955569,0.9969915490599079,0.9966151044722723,0.9993335245477593,0.9964769204806239,,0.49607878225914975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5726262728373209
7,0.00029490591103021566,0.9973009446693657,0.9952440920398011,0.9947925368978001,0.9952440920398011,0.9950075807461151,0.9993977742562523,0.9964780029387572,,0.48963567551146164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5704576671123505
8,0.00029098404680749326,0.9959514170040485,0.9969877529471829,0.9931870157124407,0.9969877529471829,0.9950416168490627,0.9990386778060781,0.9947249321949799,,0.48495100343481023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5704953769842783
9,0.00028599301416197916,0.9993252361673415,0.9985074626865671,0.9987577639751553,0.9985074626865671,0.9986278833700866,0.9998487140695914,0.9991195316076951,,0.4792371893182714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5681493083635966
10,0.00027997079786577355,0.9979757085020243,0.9967562095537351,0.9957870370370371,0.9967562095537351,0.9962685756997663,0.999551978164547,0.9973578747936838,,0.4856441946739846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5693001399437586
11,0.0002729632306212043,0.9979757085020243,0.997504956420903,0.9957948010121923,0.997504956420903,0.996643951206309,0.999551978164547,0.9973594675287948,,0.48600456372220463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5661503871281942
12,0.00026502364424628715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.47737079605143123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5635015020767847
