epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.7770897832817337,0.7575787699520112,0.7689727370828612,0.7575787699520112,0.7622282955735485,0.8795237795803726,0.6420167572496726,,0.893888081273725,0.9629629629629629,0.9300925925925926,0.9547532781228435,0.9300925925925926,0.9410577726367201,0.9803303201378754,0.939707812374734,0.9949310507885386,0.6745123565196991
2,0.00019999999999999998,0.9845201238390093,0.9850686027376203,0.9780178686371624,0.9850686027376203,0.9814221182607384,0.992576522948151,0.9752888668127647,,0.4379123910780876,0.9907407407407407,0.9925925925925926,0.9930555555555555,0.9925925925925926,0.9927459097181156,0.9945355191256832,0.9850788757724379,1.0,0.42004793137311935
3,0.0003,0.9948400412796697,0.9959204580795054,0.9933755531197986,0.9959204580795054,0.9946301001760952,0.9974099925241219,0.991745345172288,,0.37561947876407253,0.9907407407407407,0.9925925925925926,0.9803921568627452,0.9925925925925926,0.9861536715469299,0.9963768115942028,0.9851504611604321,0.9996559728292821,0.41457130014896393
4,0.0003,0.9989680082559339,0.9991645781119466,0.9979166666666667,0.9991645781119466,0.9985368328724883,0.9995884773662551,0.9983476335221674,,0.36424303343219144,0.9907407407407407,0.9925925925925926,0.9803921568627452,0.9925925925925926,0.9861536715469299,0.9963768115942028,0.9851504611604321,,0.4034184329211712
5,0.0002994311073647159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3539012324425482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39637549966573715
6,0.0002977287590753251,0.9989680082559339,0.9991889699918897,0.9991666666666666,0.9991889699918897,0.999176802915947,0.9994152046783625,0.9983469072016237,,0.3589621368915804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3943215608596802
7,0.00029490591103021566,0.9989680082559339,0.9979035639412999,0.9991666666666666,0.9979035639412999,0.9985312871373129,0.9994152046783625,0.9983462799353986,,0.3599318612006403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3936169818043709
8,0.00029098404680749326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3559620822629621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.39513127505779266
9,0.00028599301416197916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35067710953374065,0.9907407407407407,0.9925925925925926,0.9930555555555555,0.9925925925925926,0.9927459097181156,0.9945355191256832,0.9850788757724379,,0.39650410413742065
10,0.00027997079786577355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35250544644171194,0.9907407407407407,0.9925925925925926,0.9930555555555555,0.9925925925925926,0.9927459097181156,0.9945355191256832,0.9850788757724379,1.0,0.3934205695986748
11,0.0002729632306212043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3489453456094188,0.9907407407407407,0.9925925925925926,0.9930555555555555,0.9925925925925926,0.9927459097181156,0.9945355191256832,0.9850788757724379,,0.39357202500104904
12,0.00026502364424628715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.35021999670613196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.38986605778336525
13,0.00025621246378738883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.34742640872155467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3913681209087372
