split,class_name,count
train,bacterial_spot,1034
train,cercospora_leaf_spot,2008
train,curl_virus,1409
train,healthy,1633
train,nutrient_deficiency,1264
train,powdery_mildew,744
validation,bacterial_spot,123
validation,cercospora_leaf_spot,213
validation,curl_virus,167
validation,healthy,180
validation,nutrient_deficiency,145
validation,powdery_mildew,72
test,bacterial_spot,270
test,cercospora_leaf_spot,536
test,curl_virus,429
test,healthy,455
test,nutrient_deficiency,369
test,powdery_mildew,189
