epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.7350210970464135,0.7436395350681065,0.7239825482760065,0.7436395350681065,0.7070217630991897,0.9372868556980529,0.6769560474044544,,1.201619366281911,0.9393939393939394,0.9035209235209235,0.9058730158730158,0.9035209235209235,0.9013954672778203,0.9851462463683032,0.9197180940707829,,0.6717631816864014
2,0.00019999999999999998,0.9645569620253165,0.9554650508221936,0.9509674591959587,0.9554650508221936,0.9531389892781362,0.9912745571496471,0.9538612312437748,,0.6009591833541268,0.9848484848484849,0.9752380952380953,0.9774509803921567,0.9752380952380953,0.9753833188555306,0.9963269054178145,0.9799388476726582,0.9993579337611311,0.5873503923416138
3,0.0003,0.9822784810126582,0.9768394700537557,0.9727446019226841,0.9768394700537557,0.9747174497890748,0.9957633560165464,0.9769249017718592,,0.5531725758000424,0.9696969696969697,0.9541125541125541,0.9338461538461539,0.9541125541125541,0.9404635661263445,0.9934290746511312,0.9602748004968706,,0.6046529412269592
4,0.0003,0.9940928270042194,0.989015429015429,0.9904877511795309,0.989015429015429,0.989731897764387,0.9985937302798199,0.9922967065592554,,0.5254819424528825,0.9848484848484849,0.9757575757575758,0.9764127764127764,0.9757575757575758,0.9751357318480606,0.9962773224043715,0.9799234176796436,,0.5983075261116028
5,0.0002994311073647159,0.9932489451476794,0.990656327799185,0.9888310099701763,0.990656327799185,0.9897306871557474,0.9984019975653569,0.9912040398088621,,0.5073442090498773,0.9924242424242424,0.9939393939393939,0.9818181818181818,0.9939393939393939,0.9873992673992674,0.9983606557377049,0.9899830469421893,,0.5738045811653137
6,0.0002977287590753251,0.9957805907172996,0.9950126460840746,0.9935629910879079,0.9950126460840746,0.9942683405446872,0.9989839815684238,0.9945009636498781,,0.5109466400585676,0.9924242424242424,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.980952380952381,0.9983606557377049,0.9899647617588478,1.0,0.5632266640663147
7,0.00029490591103021566,0.9940928270042194,0.9926445776445778,0.9889997164768445,0.9926445776445778,0.9907527386518685,0.9986557270910111,0.9923128409105805,,0.4950961666671853,0.9848484848484849,0.9770562770562771,0.9759358288770054,0.9770562770562771,0.9755576677712984,0.996340453717503,0.9799419997485517,,0.5888933598995209
8,0.00029098404680749326,0.9949367088607595,0.9926350237064522,0.9932959808627466,0.9926350237064522,0.9929363910740058,0.998733778990857,0.9934004069290613,,0.5016599995525259,0.9848484848484849,0.96,0.9692307692307693,0.96,0.961111111111111,0.9966942148760332,0.9800736781141204,,0.5851168870925904
9,0.00028599301416197916,0.9957805907172996,0.9950976800976801,0.9945186697665829,0.9950976800976801,0.9947791436130906,0.9989379837678332,0.9945019505435996,,0.5188307824887728,0.9924242424242424,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.980952380952381,0.9983606557377049,0.9899647617588478,,0.581887948513031
10,0.00027997079786577355,0.9957805907172996,0.996814058956916,0.9951068592595137,0.996814058956916,0.9959456291743296,0.99892551170532,0.9945033617408252,,0.5036726021452954,0.9848484848484849,0.9618181818181817,0.9618181818181817,0.9618181818181817,0.9618181818181817,0.9967077631757213,0.979776313773556,0.980198174674533,0.596406626701355
11,0.0002729632306212043,0.9974683544303797,0.996911976911977,0.9968669094049641,0.996911976911977,0.996888364536422,0.9993596015397672,0.9966991367834894,,0.5045618705059353,0.9848484848484849,0.9618181818181817,0.9618181818181817,0.9618181818181817,0.9618181818181817,0.9967077631757213,0.979776313773556,,0.5842240214347839
12,0.00026502364424628715,0.9957805907172996,0.9958254840397698,0.9947466556652443,0.9958254840397698,0.9952791780666477,0.9989344568197455,0.994500525451969,,0.5038281004679831,0.9772727272727273,0.9562626262626261,0.9559358288770052,0.9562626262626261,0.9560162057828656,0.9946875611555195,0.9697457221623572,0.9808265694473526,0.591023999452591
13,0.00025621246378738883,0.9983122362869198,0.9978266178266179,0.9977835723598435,0.9978266178266179,0.9978040148638371,0.9995859596491508,0.9977997341712234,,0.47918935276960073,0.9848484848484849,0.9762626262626263,0.9759358288770054,0.9762626262626263,0.9751504049170645,0.996340453717503,0.9799326095367821,,0.5894856452941895
