epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.32761520349815004,0.5000782498074284,0.296252642236863,0.5000782498074284,0.2957438041827643,0.8713053707281322,0.25586823986180884,0.8463981156031251,1.8274293740590413,0.3474320241691843,0.5900613183444047,0.35867252306592806,0.5900613183444047,0.3475623862053236,0.8797448890564116,0.3095078044248805,,1.7463546015999534
2,0.00019999999999999998,0.4133871510258998,0.615252260592938,0.5025504100240328,0.615252260592938,0.41889159866390574,0.8882375161230905,0.34665688631062513,,1.3688903880375687,0.6646525679758308,0.7885187008487357,0.6585005030065514,0.7885187008487357,0.6632016796727186,0.9320020652331017,0.5957402812459356,0.9569871595404619,1.3649415102871982
3,0.0003,0.7470568449377732,0.8232587447334351,0.7305855191012306,0.8232587447334351,0.7418694690167276,0.9457479381359472,0.6844094674102003,,1.0656413032162575,0.8398791540785498,0.8840096141650947,0.8820751090760733,0.8840096141650947,0.8679447234647265,0.9627512390698761,0.804603155624721,,1.0695782656019384
4,0.0003,0.8321560713084426,0.8869821959576457,0.8326645174589591,0.8869821959576457,0.8539729660471617,0.9625213616436237,0.7842166716209077,,0.9053588323695685,0.8851963746223565,0.9279769100705826,0.9010263261738073,0.9279769100705826,0.9117314358693669,0.9741743035032634,0.8527575137526603,,0.9650636342438784
5,0.0002994311073647159,0.8681466532122435,0.9122314760809193,0.8740105331780589,0.9122314760809193,0.8908119605842341,0.9706283307998184,0.829829894320472,,0.8498683578224593,0.9063444108761329,0.9332569481049645,0.9199546368664016,0.9332569481049645,0.9247448091665835,0.9788903543789543,0.8795973958949058,,0.9430914886973121
6,0.0002977287590753251,0.8913555331315169,0.9265747988510641,0.9008264499759834,0.9265747988510641,0.9125835770031171,0.9757475148818894,0.8595087871048535,,0.81234376148511,0.8942598187311178,0.9303448949154794,0.9099802608930396,0.9303448949154794,0.9166980328999852,0.975801708912146,0.864547740482058,,0.9464665014635433
7,0.00029490591103021566,0.9044735956945846,0.9367610385640934,0.9104601037925635,0.9367610385640934,0.9225510630127332,0.9787338916918853,0.8764954415645514,,0.7930725569366127,0.8972809667673716,0.9179843317114225,0.9135608434521477,0.9179843317114225,0.9143717525212137,0.9765754186815724,0.8671415362116496,,0.9280440590598367
8,0.00029098404680749326,0.9179280188361923,0.9468569774825154,0.9260828326958315,0.9468569774825154,0.9356771286966973,0.9817009447381736,0.8938391665689032,,0.7656370606473697,0.9033232628398792,0.9383274964584086,0.9328053082118123,0.9383274964584086,0.9350391421023954,0.9777395175464418,0.8747842841181839,,0.9190536452965303
9,0.00028599301416197916,0.9317188025563404,0.956896766336182,0.9371442618725286,0.956896766336182,0.9464094255856362,0.9847948509202026,0.9117233486610264,,0.7489672354472581,0.8942598187311178,0.9335666006123526,0.912569320657556,0.9335666006123526,0.9211739777544703,0.976105427260781,0.8639427173825222,,0.9246381710876118
10,0.00027997079786577355,0.9384460141271443,0.959547592549666,0.9474181272794687,0.959547592549666,0.9532509740347113,0.9861786224773219,0.9202562005052055,,0.7415528566606583,0.9033232628398792,0.9374987017626947,0.9213000766377816,0.9374987017626947,0.9269256089532587,0.9777958297560483,0.8757123936097393,,0.9396280375393954
