epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.4824561403508772,0.5232182225360249,0.6646687315332469,0.5232182225360249,0.4775863055328552,0.8827834180952532,0.4467943154909282,0.8734231769099713,1.6244918158713808,0.8787878787878788,0.8939138848572812,0.8271766372452871,0.8939138848572812,0.8445003049952924,0.9724578111946534,0.8480584880503504,0.9849762046019741,1.6111873785654705
2,0.00019999999999999998,0.9163292847503374,0.8952237217040666,0.887911820318734,0.8952237217040666,0.8851488337580651,0.9799630039938558,0.8930214235990342,,1.3329288528320637,0.9636363636363636,0.954833091436865,0.9635218820273309,0.954833091436865,0.9584935978612636,0.9905714285714285,0.9520785785432141,,0.9487477242946625
3,0.0003,0.970310391363023,0.9663775157039918,0.9543080140073037,0.9663775157039918,0.9599927892708026,0.9929013631844065,0.9614463527721424,,0.7438941382347269,0.9818181818181818,0.9777648766328012,0.9672527472527473,0.9777648766328012,0.9722262922262923,0.995763575605681,0.9759218219780839,0.9995148555148555,0.6464530328909556
4,0.0003,0.9770580296896086,0.9757776770734188,0.9646961956062402,0.9757776770734188,0.9699663750094816,0.9945056273841055,0.9701843525566147,,0.5787994284579094,0.9939393939393939,0.9948717948717949,0.9875,0.9948717948717949,0.9909509844993716,0.9986666666666666,0.9920002341504924,,0.6020683546861013
5,0.0002994311073647159,0.9865047233468286,0.9844859678909824,0.9807321396513918,0.9844859678909824,0.9825701191305096,0.996690354038585,0.9824030776853258,,0.5390539797062569,0.9878787878787879,0.9815384615384616,0.9723809523809525,0.9815384615384616,0.9766618566618567,0.9973508771929825,0.9839527339424136,0.9999111111111111,0.5907076944907507
6,0.0002977287590753251,0.9912280701754386,0.9907820979341666,0.9833110160588665,0.9907820979341666,0.9869351043330656,0.9980228453178246,0.9885906247898903,,0.5272366968875236,0.9878787878787879,0.9815384615384616,0.9823188405797103,0.9815384615384616,0.9818714618714619,0.9969999999999999,0.9839269714052303,,0.5841498970985413
7,0.00029490591103021566,0.9939271255060729,0.9917073817940374,0.9915679992696866,0.9917073817940374,0.9916066856238197,0.9985082647138224,0.9920777337653304,,0.5095840426201516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5704332540432612
8,0.00029098404680749326,0.9932523616734144,0.9929880178264898,0.9901208060337258,0.9929880178264898,0.9915224019230185,0.9983598967613002,0.991201100154699,,0.5067921204769865,0.9939393939393939,0.9948717948717949,0.9875,0.9948717948717949,0.9909509844993716,0.9986666666666666,0.9920002341504924,,0.5694569995005926
9,0.00028599301416197916,0.9973009446693657,0.9970111292604091,0.9953009738516985,0.9970111292604091,0.9961501240458152,0.9993662771431915,0.9964786809390399,,0.4968678938581588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5674625287453333
10,0.00027997079786577355,0.9959514170040485,0.9937353762204018,0.9933003260431421,0.9937353762204018,0.9934992273004314,0.9990367886427146,0.9947162358535204,,0.4997465134935176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5652791957060496
11,0.0002729632306212043,0.9979757085020243,0.9984840863733409,0.9975038580246913,0.9984840863733409,0.997990904053523,0.9994837816636448,0.9973578747936838,,0.4994666487612623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5657405654589335
12,0.00026502364424628715,0.9979757085020243,0.9974928021927401,0.9985086666050922,0.9974928021927401,0.9979963529761345,0.9994449545649786,0.9973582064888432,,0.4880144539031577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565163180232048
13,0.00025621246378738883,0.9993252361673415,0.9995061728395062,0.9994805194805195,0.9995061728395062,0.999492703187965,0.9998178506375227,0.9991195561509166,,0.4834835859055215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5660506238540014
14,0.0002465967476481376,0.9986504723346828,0.999004919706674,0.9982565108423233,0.999004919706674,0.9986284751190384,0.9996640418627587,0.9982387627060938,,0.4798708367854991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5660369247198105
15,0.00023624967723448137,0.9993252361673415,0.9994987468671679,0.9995073891625615,0.9994987468671679,0.9995024498466043,0.9998142989786445,0.9991195419564436,,0.48378850361134146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5648019760847092
