split,class_name,count
train,bacterial_spot,1032
train,cercospora_leaf_spot,1960
train,curl_virus,1458
train,healthy,1637
train,nutrient_deficiency,1274
train,powdery_mildew,731
validation,bacterial_spot,111
validation,cercospora_leaf_spot,218
validation,curl_virus,159
validation,healthy,175
validation,nutrient_deficiency,164
validation,powdery_mildew,73
test,bacterial_spot,284
test,cercospora_leaf_spot,579
test,curl_virus,388
test,healthy,456
test,nutrient_deficiency,340
test,powdery_mildew,201
