family,experiment,scenario,datasets,fold,n_splits,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path
proposed,pooled_cv,A+B+C_pooled,A|B|C,4,5,chilli_lite_gfnet,45,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,1026197,1026197,37,0.9731302060862381,1769.631278754001,335.49365234375,0.9621886120996441,0.9663898862084762,0.9685629743193024,0.9663898862084762,0.9674367581736529,0.9920506410166312,0.953734324555144,,0.5735163978287872,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_45/fold_04/metrics.json
proposed,pooled_cv,A+B+C_pooled,A|B|C,2,5,chilli_lite_gfnet,43,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,1026197,1026197,22,0.9614213394319392,1366.2402891449965,335.49365234375,0.9546263345195729,0.9593726367499044,0.9600507691356907,0.9593726367499044,0.9596699582464557,0.9904652519092277,0.9443866194456733,,0.5957651969412683,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_43/fold_02/metrics.json
proposed,pooled_cv,A+B+C_pooled,A|B|C,5,5,chilli_lite_gfnet,46,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8093,899,2248,1026197,1026197,11,0.954705805153369,872.7848486639996,335.95947265625,0.9568505338078291,0.9635251925793983,0.9625236165500105,0.9635251925793983,0.9627539285836,0.9910317871880308,0.9474799298946365,,0.5847633397075492,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_46/fold_05/metrics.json
proposed,pooled_cv,A+B+C_pooled,A|B|C,1,5,chilli_lite_gfnet,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,1026197,1026197,15,0.9630787062745823,1054.237048156996,335.49365234375,0.9555160142348754,0.9590001112459214,0.9630257907315055,0.9590001112459214,0.9607485772576676,0.9906152390232951,0.9456694197867399,,0.5968661602114288,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_42/fold_01/metrics.json
proposed,pooled_cv,A+B+C_pooled,A|B|C,3,5,chilli_lite_gfnet,44,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,1026197,1026197,8,0.9660799808138508,732.892033295997,335.49365234375,0.9546263345195729,0.9547282335846505,0.9643148848078296,0.9547282335846505,0.9589494592292188,0.9903865557244301,0.9449687640990244,,0.5879383813327467,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_44/fold_03/metrics.json
baselines,pooled_cv,A+B+C_pooled,A|B|C,4,5,densenet121,45,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,6960006,6960006,13,0.9707542098144275,935.232730239004,2200.974609375,0.9532918149466192,0.9592429771215719,0.9604278252128909,0.9592429771215719,0.959502173776421,0.9902720230917019,0.9430872684277759,,0.5856535934226613,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/densenet121/pooled_cv/A_plus_B_plus_C_pooled/seed_45/fold_04/metrics.json
baselines,pooled_cv,A+B+C_pooled,A|B|C,2,5,densenet121,43,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,6960006,6960006,29,0.9652890283417007,1703.9119087090003,2200.974609375,0.9590747330960854,0.9621513059800452,0.9636629528050359,0.9621513059800452,0.9627507067488876,0.9913795865499551,0.9498740043229466,,0.5904889660821834,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/densenet121/pooled_cv/A_plus_B_plus_C_pooled/seed_43/fold_02/metrics.json
baselines,pooled_cv,A+B+C_pooled,A|B|C,5,5,densenet121,46,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8093,899,2248,6960006,6960006,16,0.9553497408070069,1097.0883705509987,2197.798828125,0.9599644128113879,0.9654410943882642,0.9637045863960519,0.9654410943882642,0.964451907552759,0.9916900170922548,0.9511223745150633,,0.5875887409062452,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/densenet121/pooled_cv/A_plus_B_plus_C_pooled/seed_46/fold_05/metrics.json
baselines,pooled_cv,A+B+C_pooled,A|B|C,1,5,densenet121,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,6960006,6960006,9,0.962171246400914,802.4741287200013,2196.740234375,0.943950177935943,0.9487039805471743,0.9514311114614652,0.9487039805471743,0.9498025160893407,0.9882206169596982,0.9315132890933385,,0.6203005616094025,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/densenet121/pooled_cv/A_plus_B_plus_C_pooled/seed_42/fold_01/metrics.json
baselines,pooled_cv,A+B+C_pooled,A|B|C,3,5,densenet121,44,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,8092,900,2248,6960006,6960006,22,0.9661643697438981,1365.5008603919996,2200.974609375,0.9599644128113879,0.962059674742391,0.9643843461893159,0.962059674742391,0.9631760948472353,0.9916937403497142,0.9512188095619108,,0.582327243517822,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/densenet121/pooled_cv/A_plus_B_plus_C_pooled/seed_44/fold_03/metrics.json
