family,experiment,scenario,source_datasets,target_dataset,exact_target_overlap_removed,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path
proposed,pairwise,B->A,B,A,0,chilli_lite_gfnet,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,1026036,1026036,6,0.9869054239001518,620.5908880880015,329.9248046875,0.3612629022465088,0.41547293858335654,0.45051176479169097,0.41547293858335654,0.33997473105471937,0.8503932549097559,0.25520450715944193,,1.6022539683259451,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/B_to_A/seed_42/metrics.json
proposed,pairwise,A->C,A,C,0,chilli_lite_gfnet,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,1025714,1025714,5,1.0,53.143230526999105,329.91748046875,0.5672240802675586,0.4029380357363983,0.5283719777931476,0.4029380357363983,0.39497538119806896,0.7056032387025395,0.13460171031354587,,1.1820688070134913,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/A_to_C/seed_42/metrics.json
proposed,pairwise,C->B,C,B,0,chilli_lite_gfnet,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,1025875,1025875,30,0.8456167119447235,114.37711254599708,333.95166015625,0.30134016554986204,0.3297191786780524,0.32008647136733903,0.3297191786780524,0.25977505978348936,0.7652186564360964,0.07976612624109962,,2.155551222697744,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/C_to_B/seed_42/metrics.json
proposed,pairwise,C->A,C,A,0,chilli_lite_gfnet,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,1025714,1025714,28,0.7648817291966656,79.3058623830002,329.91748046875,0.7400185701021356,0.7359511913660386,0.7148880409022768,0.7359511913660386,0.7173270831908344,0.8704874289598497,0.598172945586146,,0.7418446602190242,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/C_to_A/seed_42/metrics.json
proposed,pairwise,B->C,B,C,0,chilli_lite_gfnet,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,1025875,1025875,4,0.992804461234035,362.5560091890002,329.919921875,0.40012070006035005,0.4313542411296435,0.392529382915216,0.4313542411296435,0.4051176239187532,0.773872718595386,0.11775733476977136,,1.5162490285359895,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/B_to_C/seed_42/metrics.json
proposed,pairwise,A->B,A,B,0,chilli_lite_gfnet,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,1026036,1026036,5,1.0,118.00926268100011,329.9248046875,0.42563090370788104,0.46728716175652574,0.4976025360580195,0.46728716175652574,0.38288844159705493,0.8564760604150952,0.36190333452483964,,1.7407510562522992,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/A_to_B/seed_42/metrics.json
baselines,pairwise,B->A,B,A,0,resnet50,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,23518277,23518277,15,0.9892251055528234,1039.2799397659983,1789.07861328125,0.5197328476017,0.5080279509258949,0.52368909921068,0.5080279509258949,0.45427792990553756,0.8750714192982461,0.4240148940528495,,1.5163728629167263,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/B_to_A/seed_42/metrics.json
baselines,pairwise,A->C,A,C,0,resnet50,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,23514179,23514179,1,1.0,37.92519811600141,1789.00048828125,0.5264214046822743,0.3702957535334839,0.41271852050783425,0.3702957535334839,0.3697641064276249,0.6836194897119984,0.06013613988184783,,1.1688013666487755,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/A_to_C/seed_42/metrics.json
baselines,pairwise,C->B,C,B,0,resnet50,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,23516228,23516228,12,0.8340569179117364,81.26488940499985,1789.03955078125,0.4420575482853764,0.4408158570356886,0.5777705257384786,0.4408158570356886,0.3805221985998811,0.8167462988716747,0.30321043747437987,,1.7590729322448466,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/C_to_B/seed_42/metrics.json
baselines,pairwise,C->A,C,A,0,resnet50,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,23514179,23514179,10,0.8422783967087765,47.49209066600088,1789.00048828125,0.6220984215413184,0.5475997144992778,0.7438524349252663,0.5475997144992778,0.5549917401133045,0.7860353438068267,0.4173149511299875,,1.3794447924284374,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/C_to_A/seed_42/metrics.json
baselines,pairwise,B->C,B,C,0,resnet50,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,23516228,23516228,7,0.992814641891467,467.6195822310001,1789.03955078125,0.2637296318648159,0.40710981215841757,0.43626594927650064,0.40710981215841757,0.29005809993079684,0.7688316653359588,0.1526831193198722,,2.6629889733516254,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/B_to_C/seed_42/metrics.json
baselines,pairwise,A->B,A,B,0,resnet50,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,23518277,23518277,3,1.0,109.20292798800074,1789.07861328125,0.4558014944311293,0.4757838905233084,0.7274619236424675,0.4757838905233084,0.40221370931221234,0.8661595483699539,0.3943122397003448,,1.8203507816872082,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/pairwise/A_to_B/seed_42/metrics.json
