repeat,seed,regime,job_tag,method,epoch,loss,denoise_loss,decode_loss,val_log10_BER
1,260817,mixed,MIXED,PNND,1,0.24995889514684677,0.0,0.24995889514684677,-0.32731561492960887
1,260817,mixed,MIXED,PNND,2,0.24972830712795258,0.0,0.24972830712795258,
1,260817,mixed,MIXED,PNND,3,0.24935849383473396,0.0,0.24935849383473396,
1,260817,mixed,MIXED,PNND,4,0.24889709055423737,0.0,0.24889709055423737,
1,260817,mixed,MIXED,PNND,5,0.24833571165800095,0.0,0.24833571165800095,
1,260817,mixed,MIXED,PNND,6,0.24773713946342468,0.0,0.24773713946342468,
1,260817,mixed,MIXED,PNND,7,0.24681777507066727,0.0,0.24681777507066727,
1,260817,mixed,MIXED,PNND,8,0.24479810521006584,0.0,0.24479810521006584,
1,260817,mixed,MIXED,PNND,9,0.24318385869264603,0.0,0.24318385869264603,
1,260817,mixed,MIXED,PNND,10,0.24169543012976646,0.0,0.24169543012976646,
1,260817,mixed,MIXED,PNND,11,0.23662735149264336,0.0,0.23662735149264336,
1,260817,mixed,MIXED,PNND,12,0.23305364698171616,0.0,0.23305364698171616,
1,260817,mixed,MIXED,PNND,13,0.22930439561605453,0.0,0.22930439561605453,
1,260817,mixed,MIXED,PNND,14,0.22850225120782852,0.0,0.22850225120782852,
1,260817,mixed,MIXED,PNND,15,0.2249070443212986,0.0,0.2249070443212986,
1,260817,mixed,MIXED,PNND,16,0.22144414484500885,0.0,0.22144414484500885,
1,260817,mixed,MIXED,PNND,17,0.21306707337498665,0.0,0.21306707337498665,
1,260817,mixed,MIXED,PNND,18,0.21684973686933517,0.0,0.21684973686933517,
1,260817,mixed,MIXED,PNND,19,0.21857773140072823,0.0,0.21857773140072823,
1,260817,mixed,MIXED,PNND,20,0.2152843289077282,0.0,0.2152843289077282,
1,260817,mixed,MIXED,PNND,21,0.20600377768278122,0.0,0.20600377768278122,
1,260817,mixed,MIXED,PNND,22,0.2074340432882309,0.0,0.2074340432882309,
1,260817,mixed,MIXED,PNND,23,0.20389390364289284,0.0,0.20389390364289284,
1,260817,mixed,MIXED,PNND,24,0.20282775163650513,0.0,0.20282775163650513,
1,260817,mixed,MIXED,PNND,25,0.19008967280387878,0.0,0.19008967280387878,
1,260817,mixed,MIXED,PNND,26,0.19926906377077103,0.0,0.19926906377077103,
1,260817,mixed,MIXED,PNND,27,0.20437828823924065,0.0,0.20437828823924065,
1,260817,mixed,MIXED,PNND,28,0.20797734707593918,0.0,0.20797734707593918,
1,260817,mixed,MIXED,PNND,29,0.19629684835672379,0.0,0.19629684835672379,
1,260817,mixed,MIXED,PNND,30,0.20141344517469406,0.0,0.20141344517469406,
1,260817,mixed,MIXED,PNND,31,0.1967206969857216,0.0,0.1967206969857216,
1,260817,mixed,MIXED,PNND,32,0.17738664150238037,0.0,0.17738664150238037,
1,260817,mixed,MIXED,PNND,33,0.20184535160660744,0.0,0.20184535160660744,
1,260817,mixed,MIXED,PNND,34,0.18861399963498116,0.0,0.18861399963498116,
1,260817,mixed,MIXED,PNND,35,0.1815926879644394,0.0,0.1815926879644394,
1,260817,mixed,MIXED,PNND,36,0.18158117681741714,0.0,0.18158117681741714,
1,260817,mixed,MIXED,PNND,37,0.17390622571110725,0.0,0.17390622571110725,
1,260817,mixed,MIXED,PNND,38,0.17618881911039352,0.0,0.17618881911039352,
1,260817,mixed,MIXED,PNND,39,0.185830008238554,0.0,0.185830008238554,
1,260817,mixed,MIXED,PNND,40,0.1718248650431633,0.0,0.1718248650431633,
1,260817,mixed,MIXED,PNND,41,0.17070294544100761,0.0,0.17070294544100761,
1,260817,mixed,MIXED,PNND,42,0.17723088338971138,0.0,0.17723088338971138,
1,260817,mixed,MIXED,PNND,43,0.18890102580189705,0.0,0.18890102580189705,
1,260817,mixed,MIXED,PNND,44,0.1776350736618042,0.0,0.1776350736618042,
1,260817,mixed,MIXED,PNND,45,0.17569581791758537,0.0,0.17569581791758537,
1,260817,mixed,MIXED,PNND,46,0.17724646627902985,0.0,0.17724646627902985,
1,260817,mixed,MIXED,PNND,47,0.16641180589795113,0.0,0.16641180589795113,
1,260817,mixed,MIXED,PNND,48,0.16569745540618896,0.0,0.16569745540618896,
1,260817,mixed,MIXED,PNND,49,0.15971482917666435,0.0,0.15971482917666435,
1,260817,mixed,MIXED,PNND,50,0.17814411595463753,0.0,0.17814411595463753,
