regime,job_tag,method,mean_BER,mean_log10_BER
matched,MATCHED_AWGN,ML,0.034337512539333766,-2.2334330764021617
matched,MATCHED_AWGN,SC,0.03448150767299107,-2.230778623482395
matched,MATCHED_AWGN,RNND_Zhu,0.04025511267411082,-2.0048863892019826
matched,MATCHED_AWGN,PNND,0.04198882336226599,-1.9500155897033715
matched,MATCHED_AWGN,CNN_RNND,0.050587981563991954,-1.8004124417219949
matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,0.047856264788074046,-1.7513521637196596
matched,MATCHED_Impulsive,ML,0.07632980346679688,-1.2868867671650341
matched,MATCHED_Impulsive,SC,0.07650680541992187,-1.2859158696470323
matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,0.09229532877604166,-1.1566973652168062
matched,MATCHED_Impulsive,CNN_RNND,0.0958287556966146,-1.1435600550431453
matched,MATCHED_Impulsive,RNND_Zhu,0.09599838256835938,-1.1347034082374445
matched,MATCHED_Impulsive,PNND,0.13177235921223956,-0.9401623856206438
matched,MATCHED_Rayleigh,ML,0.0814374287923177,-1.2676647822448717
matched,MATCHED_Rayleigh,SC,0.081866455078125,-1.265592497658401
matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,0.10396881103515625,-1.0887463600630451
matched,MATCHED_Rayleigh,RNND_Zhu,0.16232528686523437,-0.8453388778985061
matched,MATCHED_Rayleigh,CNN_RNND,0.16554336547851561,-0.8306905368757207
matched,MATCHED_Rayleigh,PNND,0.20215174357096358,-0.7227557312549788
matched,MATCHED_RicianLOS,ML,0.05060366913512513,-1.6868046454014334
matched,MATCHED_RicianLOS,SC,0.050964752693316004,-1.6842866684897602
matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,0.06720021565755209,-1.4055506655110286
matched,MATCHED_RicianLOS,RNND_Zhu,0.08740590413411457,-1.2323744331899573
matched,MATCHED_RicianLOS,CNN_RNND,0.09380645751953125,-1.1955134678712152
matched,MATCHED_RicianLOS,PNND,0.09472020467122397,-1.1756216878322152
mixed,MIXED,ML,0.06067710348339337,-1.6186973178033752
mixed,MIXED,SC,0.06095488021608848,-1.616643414819397
mixed,MIXED,Proposed_CA_CNN_RNND,0.07950919453310498,-1.334605095260599
mixed,MIXED,RNND_Zhu,0.09770670084562756,-1.302981992131216
mixed,MIXED,CNN_RNND,0.10211039109750504,-1.2289482983227507
mixed,MIXED,PNND,0.11120718934933464,-1.1843926659723334
unseen,UNSEEN_Impulsive,ML,0.07632980346679688,-1.2868867671650341
unseen,UNSEEN_Impulsive,SC,0.07650680541992187,-1.2859158696470323
unseen,UNSEEN_Impulsive,CNN_RNND,0.10123672485351562,-1.100346532237014
unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,0.10409698486328126,-1.0872146067411514
unseen,UNSEEN_Impulsive,RNND_Zhu,0.10376917521158853,-1.0736133236730918
unseen,UNSEEN_Impulsive,PNND,0.12220026652018227,-0.9819170331440908
