regime,job_tag,channel,snr_db,method,BER_mean_std
matched,MATCHED_AWGN,AWGN,0.0,CNN_RNND,1.606e-01 ± 6.00e-04
matched,MATCHED_AWGN,AWGN,0.0,ML,1.248e-01 ± 1.14e-03
matched,MATCHED_AWGN,AWGN,0.0,PNND,1.399e-01 ± 4.44e-03
matched,MATCHED_AWGN,AWGN,0.0,Proposed_CA_CNN_RNND,1.501e-01 ± 3.49e-03
matched,MATCHED_AWGN,AWGN,0.0,RNND_Zhu,1.378e-01 ± 2.03e-03
matched,MATCHED_AWGN,AWGN,0.0,SC,1.252e-01 ± 1.72e-03
matched,MATCHED_AWGN,AWGN,1.0,CNN_RNND,1.109e-01 ± 1.95e-03
matched,MATCHED_AWGN,AWGN,1.0,ML,7.814e-02 ± 1.96e-03
matched,MATCHED_AWGN,AWGN,1.0,PNND,9.390e-02 ± 3.92e-03
matched,MATCHED_AWGN,AWGN,1.0,Proposed_CA_CNN_RNND,1.033e-01 ± 3.21e-03
matched,MATCHED_AWGN,AWGN,1.0,RNND_Zhu,9.064e-02 ± 1.87e-03
matched,MATCHED_AWGN,AWGN,1.0,SC,7.823e-02 ± 1.87e-03
matched,MATCHED_AWGN,AWGN,2.0,CNN_RNND,7.041e-02 ± 2.92e-03
matched,MATCHED_AWGN,AWGN,2.0,ML,4.336e-02 ± 1.13e-03
matched,MATCHED_AWGN,AWGN,2.0,PNND,5.621e-02 ± 2.15e-03
matched,MATCHED_AWGN,AWGN,2.0,Proposed_CA_CNN_RNND,6.520e-02 ± 1.83e-03
matched,MATCHED_AWGN,AWGN,2.0,RNND_Zhu,5.265e-02 ± 1.27e-03
matched,MATCHED_AWGN,AWGN,2.0,SC,4.387e-02 ± 1.34e-03
matched,MATCHED_AWGN,AWGN,3.0,CNN_RNND,3.743e-02 ± 8.05e-04
matched,MATCHED_AWGN,AWGN,3.0,ML,1.926e-02 ± 9.27e-04
matched,MATCHED_AWGN,AWGN,3.0,PNND,2.827e-02 ± 2.30e-03
matched,MATCHED_AWGN,AWGN,3.0,Proposed_CA_CNN_RNND,3.602e-02 ± 1.82e-03
matched,MATCHED_AWGN,AWGN,3.0,RNND_Zhu,2.592e-02 ± 1.27e-03
matched,MATCHED_AWGN,AWGN,3.0,SC,1.930e-02 ± 9.62e-04
matched,MATCHED_AWGN,AWGN,4.0,CNN_RNND,1.671e-02 ± 7.89e-04
matched,MATCHED_AWGN,AWGN,4.0,ML,6.848e-03 ± 6.58e-04
matched,MATCHED_AWGN,AWGN,4.0,PNND,1.219e-02 ± 1.27e-03
matched,MATCHED_AWGN,AWGN,4.0,Proposed_CA_CNN_RNND,1.742e-02 ± 1.23e-03
matched,MATCHED_AWGN,AWGN,4.0,RNND_Zhu,1.063e-02 ± 8.02e-04
matched,MATCHED_AWGN,AWGN,4.0,SC,6.954e-03 ± 6.54e-04
matched,MATCHED_AWGN,AWGN,5.0,CNN_RNND,6.372e-03 ± 7.48e-04
matched,MATCHED_AWGN,AWGN,5.0,ML,1.861e-03 ± 1.64e-04
matched,MATCHED_AWGN,AWGN,5.0,PNND,4.099e-03 ± 8.77e-04
matched,MATCHED_AWGN,AWGN,5.0,Proposed_CA_CNN_RNND,7.320e-03 ± 8.92e-04
matched,MATCHED_AWGN,AWGN,5.0,RNND_Zhu,3.380e-03 ± 2.05e-04
matched,MATCHED_AWGN,AWGN,5.0,SC,1.894e-03 ± 2.11e-04
matched,MATCHED_AWGN,AWGN,6.0,CNN_RNND,1.843e-03 ± 1.96e-04
matched,MATCHED_AWGN,AWGN,6.0,ML,3.600e-04 ± 2.37e-05
matched,MATCHED_AWGN,AWGN,6.0,PNND,1.119e-03 ± 2.48e-04
matched,MATCHED_AWGN,AWGN,6.0,Proposed_CA_CNN_RNND,2.743e-03 ± 3.35e-04
matched,MATCHED_AWGN,AWGN,6.0,RNND_Zhu,8.791e-04 ± 6.74e-05
matched,MATCHED_AWGN,AWGN,6.0,SC,3.600e-04 ± 2.68e-05
matched,MATCHED_AWGN,AWGN,7.0,CNN_RNND,4.398e-04 ± 7.77e-05
matched,MATCHED_AWGN,AWGN,7.0,ML,4.075e-05 ± 1.69e-05
matched,MATCHED_AWGN,AWGN,7.0,PNND,2.295e-04 ± 4.75e-05
matched,MATCHED_AWGN,AWGN,7.0,Proposed_CA_CNN_RNND,7.857e-04 ± 1.14e-04
matched,MATCHED_AWGN,AWGN,7.0,RNND_Zhu,1.713e-04 ± 7.55e-06
matched,MATCHED_AWGN,AWGN,7.0,SC,4.075e-05 ± 1.69e-05
matched,MATCHED_Impulsive,Impulsive,0.0,CNN_RNND,2.226e-01 ± 2.99e-03
matched,MATCHED_Impulsive,Impulsive,0.0,ML,1.928e-01 ± 2.74e-03
matched,MATCHED_Impulsive,Impulsive,0.0,PNND,2.478e-01 ± 7.79e-03
matched,MATCHED_Impulsive,Impulsive,0.0,Proposed_CA_CNN_RNND,2.105e-01 ± 1.84e-03
matched,MATCHED_Impulsive,Impulsive,0.0,RNND_Zhu,2.187e-01 ± 2.25e-03
matched,MATCHED_Impulsive,Impulsive,0.0,SC,1.927e-01 ± 2.45e-03
matched,MATCHED_Impulsive,Impulsive,1.0,CNN_RNND,1.729e-01 ± 2.33e-03
matched,MATCHED_Impulsive,Impulsive,1.0,ML,1.449e-01 ± 1.85e-03
matched,MATCHED_Impulsive,Impulsive,1.0,PNND,2.068e-01 ± 9.44e-03
matched,MATCHED_Impulsive,Impulsive,1.0,Proposed_CA_CNN_RNND,1.647e-01 ± 3.62e-03
matched,MATCHED_Impulsive,Impulsive,1.0,RNND_Zhu,1.700e-01 ± 2.71e-03
matched,MATCHED_Impulsive,Impulsive,1.0,SC,1.458e-01 ± 2.31e-03
matched,MATCHED_Impulsive,Impulsive,2.0,CNN_RNND,1.280e-01 ± 1.94e-03
matched,MATCHED_Impulsive,Impulsive,2.0,ML,1.035e-01 ± 1.51e-03
matched,MATCHED_Impulsive,Impulsive,2.0,PNND,1.681e-01 ± 1.22e-02
matched,MATCHED_Impulsive,Impulsive,2.0,Proposed_CA_CNN_RNND,1.244e-01 ± 3.47e-03
matched,MATCHED_Impulsive,Impulsive,2.0,RNND_Zhu,1.282e-01 ± 2.52e-03
matched,MATCHED_Impulsive,Impulsive,2.0,SC,1.040e-01 ± 1.34e-03
matched,MATCHED_Impulsive,Impulsive,3.0,CNN_RNND,8.972e-02 ± 1.67e-03
matched,MATCHED_Impulsive,Impulsive,3.0,ML,6.818e-02 ± 8.09e-04
matched,MATCHED_Impulsive,Impulsive,3.0,PNND,1.305e-01 ± 1.20e-02
matched,MATCHED_Impulsive,Impulsive,3.0,Proposed_CA_CNN_RNND,8.774e-02 ± 2.53e-03
matched,MATCHED_Impulsive,Impulsive,3.0,RNND_Zhu,8.990e-02 ± 4.37e-04
matched,MATCHED_Impulsive,Impulsive,3.0,SC,6.805e-02 ± 4.70e-04
matched,MATCHED_Impulsive,Impulsive,4.0,CNN_RNND,6.055e-02 ± 1.97e-03
matched,MATCHED_Impulsive,Impulsive,4.0,ML,4.405e-02 ± 1.41e-03
matched,MATCHED_Impulsive,Impulsive,4.0,PNND,1.027e-01 ± 1.26e-02
matched,MATCHED_Impulsive,Impulsive,4.0,Proposed_CA_CNN_RNND,6.048e-02 ± 2.47e-03
matched,MATCHED_Impulsive,Impulsive,4.0,RNND_Zhu,6.359e-02 ± 1.23e-03
matched,MATCHED_Impulsive,Impulsive,4.0,SC,4.401e-02 ± 1.67e-03
matched,MATCHED_Impulsive,Impulsive,5.0,CNN_RNND,4.176e-02 ± 5.05e-04
matched,MATCHED_Impulsive,Impulsive,5.0,ML,2.744e-02 ± 8.70e-04
matched,MATCHED_Impulsive,Impulsive,5.0,PNND,8.059e-02 ± 1.19e-02
matched,MATCHED_Impulsive,Impulsive,5.0,Proposed_CA_CNN_RNND,4.099e-02 ± 1.81e-03
matched,MATCHED_Impulsive,Impulsive,5.0,RNND_Zhu,4.396e-02 ± 1.22e-03
matched,MATCHED_Impulsive,Impulsive,5.0,SC,2.747e-02 ± 1.05e-03
