repeat,regime,job_tag,method,selected_epoch,best_validation_log10_BER
0,mixed,MIXED,PNND,8000,-1.0745692545351198
0,mixed,MIXED,RNND_Zhu,7000,-1.1876031206345234
0,mixed,MIXED,CNN_RNND,7600,-1.135142530299686
0,mixed,MIXED,Proposed_CA_CNN_RNND,7800,-1.2268017412563528
0,matched,MATCHED_AWGN,PNND,7400,-1.8866888516061862
0,matched,MATCHED_AWGN,RNND_Zhu,7400,-1.882788204805816
0,matched,MATCHED_AWGN,CNN_RNND,7000,-1.6716374085675572
0,matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,7800,-1.6039307980501913
0,matched,MATCHED_Rayleigh,PNND,7400,-0.6932921835622206
0,matched,MATCHED_Rayleigh,RNND_Zhu,7800,-0.795604391346998
0,matched,MATCHED_Rayleigh,CNN_RNND,7800,-0.798012779521478
0,matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,7800,-1.0161927599798173
0,matched,MATCHED_RicianLOS,PNND,8000,-1.0910667429320156
0,matched,MATCHED_RicianLOS,RNND_Zhu,7200,-1.155739928582143
0,matched,MATCHED_RicianLOS,CNN_RNND,7800,-1.095419357673702
0,matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,8000,-1.2675631503854075
0,matched,MATCHED_Impulsive,PNND,8000,-0.8537544233527452
0,matched,MATCHED_Impulsive,RNND_Zhu,7800,-1.0846132567493425
0,matched,MATCHED_Impulsive,CNN_RNND,7800,-1.0813503329012284
0,matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,7600,-1.0949473506513019
0,unseen,UNSEEN_Impulsive,PNND,7400,-1.116649639353841
0,unseen,UNSEEN_Impulsive,RNND_Zhu,7400,-1.2512229019169858
0,unseen,UNSEEN_Impulsive,CNN_RNND,7600,-1.150535375768928
0,unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,8000,-1.3076203487725202
1,mixed,MIXED,PNND,8000,-1.1177970434836466
1,mixed,MIXED,RNND_Zhu,8000,-1.1989869042475685
1,mixed,MIXED,CNN_RNND,7800,-1.1422309759003033
1,mixed,MIXED,Proposed_CA_CNN_RNND,8000,-1.2574824575448587
1,matched,MATCHED_AWGN,PNND,7800,-1.7510055400110232
1,matched,MATCHED_AWGN,RNND_Zhu,7800,-1.7935593641556247
1,matched,MATCHED_AWGN,CNN_RNND,7800,-1.5720180617740844
1,matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,7800,-1.6050466356710062
1,matched,MATCHED_Rayleigh,PNND,7800,-0.680273830556673
1,matched,MATCHED_Rayleigh,RNND_Zhu,8000,-0.7944558764643873
1,matched,MATCHED_Rayleigh,CNN_RNND,7800,-0.7838366999823416
1,matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,8000,-1.0126557017329838
1,matched,MATCHED_RicianLOS,PNND,8000,-1.078562971418533
1,matched,MATCHED_RicianLOS,RNND_Zhu,7600,-1.1414136853789745
1,matched,MATCHED_RicianLOS,CNN_RNND,8000,-1.094824674195682
1,matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,7400,-1.3068131165927115
1,matched,MATCHED_Impulsive,PNND,8000,-0.9478219127660806
1,matched,MATCHED_Impulsive,RNND_Zhu,8000,-1.0746719748948266
1,matched,MATCHED_Impulsive,CNN_RNND,8000,-1.0725291397993506
1,matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,7800,-1.0897269250919002
1,unseen,UNSEEN_Impulsive,PNND,7800,-1.1568720910182346
1,unseen,UNSEEN_Impulsive,RNND_Zhu,8000,-1.2182428214479026
1,unseen,UNSEEN_Impulsive,CNN_RNND,8000,-1.1394967279910722
1,unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,7800,-1.2820244538306114
2,mixed,MIXED,PNND,7200,-1.0425254583770578
2,mixed,MIXED,RNND_Zhu,8000,-1.175395751373693
2,mixed,MIXED,CNN_RNND,8000,-1.1309049752206441
2,mixed,MIXED,Proposed_CA_CNN_RNND,8000,-1.2396916475993573
2,matched,MATCHED_AWGN,PNND,8000,-1.7920783191498777
2,matched,MATCHED_AWGN,RNND_Zhu,7800,-1.7835183156396286
2,matched,MATCHED_AWGN,CNN_RNND,7400,-1.5712710580995313
2,matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,7800,-1.568051654757964
2,matched,MATCHED_Rayleigh,PNND,7800,-0.737519954824112
2,matched,MATCHED_Rayleigh,RNND_Zhu,7800,-0.7871964510061025
2,matched,MATCHED_Rayleigh,CNN_RNND,7800,-0.7672355964857924
2,matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,7800,-1.0178279815072364
2,matched,MATCHED_RicianLOS,PNND,7600,-1.098463016588239
2,matched,MATCHED_RicianLOS,RNND_Zhu,8000,-1.1651193676529117
2,matched,MATCHED_RicianLOS,CNN_RNND,8000,-1.1215716065043755
2,matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,7800,-1.2988594311762314
2,matched,MATCHED_Impulsive,PNND,7800,-0.87952085036383
2,matched,MATCHED_Impulsive,RNND_Zhu,8000,-1.0583667732361848
2,matched,MATCHED_Impulsive,CNN_RNND,8000,-1.0739362224501083
2,matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,8000,-1.0701299637937418
2,unseen,UNSEEN_Impulsive,PNND,7800,-1.148455994496396
2,unseen,UNSEEN_Impulsive,RNND_Zhu,7800,-1.2714908131155815
2,unseen,UNSEEN_Impulsive,CNN_RNND,8000,-1.164622845862076
2,unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,8000,-1.322142111666869
3,mixed,MIXED,PNND,8000,-1.137928286722735
3,mixed,MIXED,RNND_Zhu,7400,-1.2074834308840285
3,mixed,MIXED,CNN_RNND,7600,-1.1240726457026087
3,mixed,MIXED,Proposed_CA_CNN_RNND,7400,-1.2071489224975924
3,matched,MATCHED_AWGN,PNND,6600,-1.7897912484684737
3,matched,MATCHED_AWGN,RNND_Zhu,5800,-1.8390091463532032
