regime,job_tag,comparison,n_repeats,median_log10_BER_difference,wilcoxon_statistic,p_value,significant_0.05
matched,MATCHED_AWGN,Proposed vs PNND,5,0.16619251237694344,0.0,0.0625,False
matched,MATCHED_AWGN,Proposed vs RNND_Zhu,5,0.26742991685694095,0.0,0.0625,False
matched,MATCHED_AWGN,Proposed vs CNN_RNND,5,0.03662017508023352,0.0,0.0625,False
matched,MATCHED_Impulsive,Proposed vs PNND,5,-0.22766845775881295,0.0,0.0625,False
matched,MATCHED_Impulsive,Proposed vs RNND_Zhu,5,-0.024221927510877483,0.0,0.0625,False
matched,MATCHED_Impulsive,Proposed vs CNN_RNND,5,-0.007330378953267935,0.0,0.0625,False
matched,MATCHED_Rayleigh,Proposed vs PNND,5,-0.36090399015209074,0.0,0.0625,False
matched,MATCHED_Rayleigh,Proposed vs RNND_Zhu,5,-0.24169024552261487,0.0,0.0625,False
matched,MATCHED_Rayleigh,Proposed vs CNN_RNND,5,-0.259762937878785,0.0,0.0625,False
matched,MATCHED_RicianLOS,Proposed vs PNND,5,-0.2276272243440356,0.0,0.0625,False
matched,MATCHED_RicianLOS,Proposed vs RNND_Zhu,5,-0.17439388981645942,0.0,0.0625,False
matched,MATCHED_RicianLOS,Proposed vs CNN_RNND,5,-0.20487158735650013,0.0,0.0625,False
mixed,MIXED,Proposed vs PNND,5,-0.1429259795626241,0.0,0.0625,False
mixed,MIXED,Proposed vs RNND_Zhu,5,-0.04325473422733683,1.0,0.125,False
mixed,MIXED,Proposed vs CNN_RNND,5,-0.10465980801073549,0.0,0.0625,False
unseen,UNSEEN_Impulsive,Proposed vs PNND,5,-0.10578778209484896,0.0,0.0625,False
unseen,UNSEEN_Impulsive,Proposed vs RNND_Zhu,5,-0.011931493787116665,0.0,0.0625,False
unseen,UNSEEN_Impulsive,Proposed vs CNN_RNND,5,0.011050058284150177,0.0,0.0625,False
