repeat,seed,regime,job_tag,holdout,method,train_channels,parameters,selected_epoch,best_validation_log10_BER,training_seconds
0,260816,mixed,MIXED,,PNND,AWGN|Rayleigh|RicianLOS|Impulsive,24904,8000,-1.0745692545351198,47.05567004799377
0,260816,mixed,MIXED,,RNND_Zhu,AWGN|Rayleigh|RicianLOS|Impulsive,25816,7000,-1.1876031206345234,76.36486835905816
0,260816,mixed,MIXED,,CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27033,7600,-1.135142530299686,67.42487125203479
0,260816,mixed,MIXED,,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27417,7800,-1.2268017412563528,68.91161130403634
0,260816,matched,MATCHED_AWGN,,PNND,AWGN,24904,7400,-1.8866888516061862,47.06182578904554
0,260816,matched,MATCHED_AWGN,,RNND_Zhu,AWGN,25816,7400,-1.882788204805816,77.08083899505436
0,260816,matched,MATCHED_AWGN,,CNN_RNND,AWGN,27033,7000,-1.6716374085675572,63.964995544054545
0,260816,matched,MATCHED_AWGN,,Proposed_CA_CNN_RNND,AWGN,27417,7800,-1.6039307980501913,64.52291720500216
0,260816,matched,MATCHED_Rayleigh,,PNND,Rayleigh,24904,7400,-0.6932921835622206,46.12269487604499
0,260816,matched,MATCHED_Rayleigh,,RNND_Zhu,Rayleigh,25816,7800,-0.795604391346998,77.14118146698456
0,260816,matched,MATCHED_Rayleigh,,CNN_RNND,Rayleigh,27033,7800,-0.798012779521478,65.85304158099461
0,260816,matched,MATCHED_Rayleigh,,Proposed_CA_CNN_RNND,Rayleigh,27417,7800,-1.0161927599798173,66.48347555904184
0,260816,matched,MATCHED_RicianLOS,,PNND,RicianLOS,24904,8000,-1.0910667429320156,42.180514368927106
0,260816,matched,MATCHED_RicianLOS,,RNND_Zhu,RicianLOS,25816,7200,-1.155739928582143,75.67823055805638
0,260816,matched,MATCHED_RicianLOS,,CNN_RNND,RicianLOS,27033,7800,-1.095419357673702,64.85618049500044
0,260816,matched,MATCHED_RicianLOS,,Proposed_CA_CNN_RNND,RicianLOS,27417,8000,-1.2675631503854075,65.72410064190626
0,260816,matched,MATCHED_Impulsive,,PNND,Impulsive,24904,8000,-0.8537544233527452,44.78480609296821
0,260816,matched,MATCHED_Impulsive,,RNND_Zhu,Impulsive,25816,7800,-1.0846132567493425,75.24619494308718
0,260816,matched,MATCHED_Impulsive,,CNN_RNND,Impulsive,27033,7800,-1.0813503329012284,62.62529993802309
0,260816,matched,MATCHED_Impulsive,,Proposed_CA_CNN_RNND,Impulsive,27417,7600,-1.0949473506513019,63.793160466011614
0,260816,unseen,UNSEEN_Impulsive,Impulsive,PNND,AWGN|Rayleigh|RicianLOS,24904,7400,-1.116649639353841,43.38999188400339
0,260816,unseen,UNSEEN_Impulsive,Impulsive,RNND_Zhu,AWGN|Rayleigh|RicianLOS,25816,7400,-1.2512229019169858,74.12159826501738
0,260816,unseen,UNSEEN_Impulsive,Impulsive,CNN_RNND,AWGN|Rayleigh|RicianLOS,27033,7600,-1.150535375768928,62.62486162595451
0,260816,unseen,UNSEEN_Impulsive,Impulsive,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS,27417,8000,-1.3076203487725202,64.73546796198934
1,260817,mixed,MIXED,,PNND,AWGN|Rayleigh|RicianLOS|Impulsive,24904,8000,-1.1177970434836466,44.55346201895736
1,260817,mixed,MIXED,,RNND_Zhu,AWGN|Rayleigh|RicianLOS|Impulsive,25816,8000,-1.1989869042475685,75.98296284500975
1,260817,mixed,MIXED,,CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27033,7800,-1.1422309759003033,63.99294457898941
1,260817,mixed,MIXED,,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27417,8000,-1.2574824575448587,64.83131939906161
1,260817,matched,MATCHED_AWGN,,PNND,AWGN,24904,7800,-1.7510055400110232,42.65383673401084
1,260817,matched,MATCHED_AWGN,,RNND_Zhu,AWGN,25816,7800,-1.7935593641556247,72.05381423397921
1,260817,matched,MATCHED_AWGN,,CNN_RNND,AWGN,27033,7800,-1.5720180617740844,63.222181394929066
1,260817,matched,MATCHED_AWGN,,Proposed_CA_CNN_RNND,AWGN,27417,7800,-1.6050466356710062,62.469377086963505
1,260817,matched,MATCHED_Rayleigh,,PNND,Rayleigh,24904,7800,-0.680273830556673,44.21577198302839
1,260817,matched,MATCHED_Rayleigh,,RNND_Zhu,Rayleigh,25816,8000,-0.7944558764643873,71.36312759306747
1,260817,matched,MATCHED_Rayleigh,,CNN_RNND,Rayleigh,27033,7800,-0.7838366999823416,67.6747878040187
1,260817,matched,MATCHED_Rayleigh,,Proposed_CA_CNN_RNND,Rayleigh,27417,8000,-1.0126557017329838,67.62002280494198
1,260817,matched,MATCHED_RicianLOS,,PNND,RicianLOS,24904,8000,-1.078562971418533,46.927991404081695
1,260817,matched,MATCHED_RicianLOS,,RNND_Zhu,RicianLOS,25816,7600,-1.1414136853789745,78.49487323104404
1,260817,matched,MATCHED_RicianLOS,,CNN_RNND,RicianLOS,27033,8000,-1.094824674195682,66.92291805194691
