image_id,relative_path,absolute_path,file_name,class_name,class_id
0,Dry chili/Dry chili00001.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00001.JPG,Dry chili00001.JPG,Dry Chili,0
1,Dry chili/Dry chili00002.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00002.JPG,Dry chili00002.JPG,Dry Chili,0
2,Dry chili/Dry chili00003.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00003.JPG,Dry chili00003.JPG,Dry Chili,0
3,Dry chili/Dry chili00004.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00004.JPG,Dry chili00004.JPG,Dry Chili,0
4,Dry chili/Dry chili00005.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00005.JPG,Dry chili00005.JPG,Dry Chili,0
5,Dry chili/Dry chili00006.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00006.JPG,Dry chili00006.JPG,Dry Chili,0
6,Dry chili/Dry chili00007.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00007.JPG,Dry chili00007.JPG,Dry Chili,0
7,Dry chili/Dry chili00008.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00008.JPG,Dry chili00008.JPG,Dry Chili,0
8,Dry chili/Dry chili00009.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00009.JPG,Dry chili00009.JPG,Dry Chili,0
9,Dry chili/Dry chili00010.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00010.JPG,Dry chili00010.JPG,Dry Chili,0
10,Dry chili/Dry chili00011.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00011.JPG,Dry chili00011.JPG,Dry Chili,0
11,Dry chili/Dry chili00012.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00012.JPG,Dry chili00012.JPG,Dry Chili,0
12,Dry chili/Dry chili00013.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00013.JPG,Dry chili00013.JPG,Dry Chili,0
13,Dry chili/Dry chili00014.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00014.JPG,Dry chili00014.JPG,Dry Chili,0
14,Dry chili/Dry chili00015.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00015.JPG,Dry chili00015.JPG,Dry Chili,0
15,Dry chili/Dry chili00016.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00016.JPG,Dry chili00016.JPG,Dry Chili,0
