epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
1,0.665848229861841,0.8985365853658537,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
2,0.4304278110876316,0.9941463414634146,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
3,0.4213037688557695,0.9936585365853658,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
4,0.409708266607145,0.9965853658536584,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
5,0.4082604180312738,0.9990243902439024,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
6,0.4071972923162507,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
7,0.4054549617883636,0.9960975609756098,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
8,0.4016844786667242,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
1,0.645533566707518,0.9063414634146342,EfficientNet_B0,EfficientNet-B0,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
2,0.4260242460413677,0.9936585365853658,EfficientNet_B0,EfficientNet-B0,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
