model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,model_internal,history_file
EfficientNet-B0,1,1,0.0003,0.665848229861841,0.4115642874471603,0.8985365853658537,1.0,0.8984627908730356,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,2,0.0002996346075389,0.4304278110876316,0.4022484056411251,0.9941463414634146,1.0,0.9941420943730592,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,3,0.0002985402103112,0.4213037688557695,0.3982818109373892,0.9936585365853658,1.0,0.9936597140221254,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,4,0.00029672214011,0.409708266607145,0.3956037282943725,0.9965853658536584,1.0,0.9965871396421512,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,5,0.0002941892543907,0.4082604180312738,0.3969107522118476,0.9990243902439024,1.0,0.999023791726352,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,6,0.0002909538931178,0.4071972923162507,0.3950237522202153,0.9980487804878048,1.0,0.9980481841519838,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,7,0.0002870318186463,0.4054549617883636,0.3935025934250124,0.9960975609756098,1.0,0.9960963566910848,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,1,8,0.0002824421389288,0.4016844786667242,0.3955114629960829,0.9985365853658535,1.0,0.9985365810183328,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_01/history.csv
EfficientNet-B0,2,1,0.0003,0.645533566707518,0.4230066147542768,0.9063414634146342,1.0,0.9062753997243738,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,2,0.0002996346075389,0.4260242460413677,0.4125344778260877,0.9936585365853658,1.0,0.9936590647423053,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,3,0.0002985402103112,0.425701350002754,0.4101346958068109,0.9926829268292684,1.0,0.9926911098238927,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,4,0.00029672214011,0.4064256250858307,0.4036539571900521,0.9980487804878048,1.0,0.998047583452704,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,5,0.0002941892543907,0.4021080188634919,0.40403363743136,0.9995121951219512,0.9935483870967742,0.999512194396482,0.9937116187668876,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,6,0.0002909538931178,0.3995546668913306,0.4027059678108461,0.9995121951219512,1.0,0.999512194396482,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,7,0.0002870318186463,0.3971755597649551,0.4018927074247791,1.0,0.9935483870967742,1.0,0.9937116187668876,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,2,8,0.0002824421389288,0.3968664538860321,0.404070282559241,1.0,0.9935483870967742,1.0,0.9937362368485442,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_02/history.csv
EfficientNet-B0,3,1,0.0003,0.6585353478571264,0.4228959844958397,0.9048780487804878,1.0,0.9047424624792064,1.0,EfficientNet_B0,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_03/history.csv
