model,fold,first_epoch,last_epoch,epochs_recorded,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_f1_macro,final_val_f1_macro
EfficientNet-B0,1,1,8,8,0.4016844786667242,0.3955114629960829,0.9985365853658535,1.0,0.9985365810183328,1.0
EfficientNet-B0,2,1,8,8,0.3968664538860321,0.404070282559241,1.0,0.9935483870967742,1.0,0.9937362368485442
EfficientNet-B0,3,1,8,8,0.4016996410416393,0.3931330361673908,0.9990243902439024,1.0,0.9990249815067334,1.0
EfficientNet-B0,4,1,8,8,0.4001403729508563,0.3944081819826557,0.997560975609756,1.0,0.9975639319503232,1.0
EfficientNet-B0,5,1,9,9,0.3975705229945299,0.4030747082925612,1.0,1.0,1.0,1.0
EfficientNet-B0,6,1,8,8,0.4043927126977502,0.3938639898453989,0.9970731707317072,1.0,0.997074351801109,1.0
EfficientNet-B0,7,1,8,8,0.3966416286840671,0.3935810390980013,1.0,1.0,1.0,1.0
EfficientNet-B0,8,1,8,8,0.4032339108862528,0.4055137711186563,0.9970731707317072,0.9935483870967742,0.997073748909418,0.9937362368485442
EfficientNet-B0,9,1,8,8,0.3973721289053196,0.3942563153082324,0.9995121951219512,1.0,0.999512194396482,1.0
EfficientNet-B0,10,1,11,11,0.3982476275141646,0.3925769767453593,0.9980487804878048,1.0,0.9980487761296674,1.0
MobileNetV3-Small,1,1,9,9,0.4102270535724919,0.3970479199963231,0.9970731707317072,1.0,0.99707194895049,1.0
MobileNetV3-Small,2,1,10,10,0.4055913982740263,0.4068821295615165,1.0,0.9870967741935484,1.0,0.9874877810361682
MobileNetV3-Small,3,1,9,9,0.408730012847156,0.3949354017934491,0.9985365853658535,1.0,0.9985365810077164,1.0
MobileNetV3-Small,4,1,11,11,0.4048721267537373,0.3981835722923278,0.9990243902439024,1.0,0.9990243895184332,1.0
MobileNetV3-Small,5,1,11,11,0.4034074196001379,0.3956529098172341,0.9985365853658535,1.0,0.998538359170194,1.0
MobileNetV3-Small,6,1,9,9,0.4028418975923119,0.3956668707632249,0.9985365853658535,1.0,0.9985359890300328,1.0
MobileNetV3-Small,7,1,9,9,0.4044125155704777,0.3987481755595053,0.9985365853658535,1.0,0.9985359890300328,1.0
MobileNetV3-Small,8,1,10,10,0.4030019380988144,0.4030253879485592,0.9995121951219512,0.9935483870967742,0.999512194396482,0.9937362368485442
MobileNetV3-Small,9,1,9,9,0.4080394272687958,0.3962145349671764,0.9985365853658535,1.0,0.9985359890300328,1.0
MobileNetV3-Small,10,1,12,12,0.3976233874297724,0.4042058856256546,1.0,0.9935483870967742,1.0,0.9937116187668876
Proposed,1,1,9,9,0.4138538604829369,0.391494159929214,0.9907317073170732,1.0,0.9907166909159504,1.0
Proposed,2,1,10,10,0.4334818166348992,0.4030766875513138,0.9848780487804878,0.9870967741935484,0.9849554585316028,0.987450980392157
Proposed,3,1,10,10,0.4102817272558445,0.3913926607178103,0.9941463414634146,1.0,0.9941544392973224,1.0
Proposed,4,1,10,10,0.4118270010482974,0.3925933499490061,0.9931707317073172,1.0,0.9931685425470028,1.0
Proposed,5,1,12,12,0.4036293729921666,0.3972662596933303,0.9960975609756098,0.9935483870967742,0.9961057608614936,0.9939044100669592
Proposed,6,1,9,9,0.3948583923025829,0.3906051529992011,0.9990243902439024,1.0,0.9990243887929636,1.0
