model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,model_internal,history_file
ResNet18,1,1,0.0003,0.5415324677490606,0.4280478081395549,0.9473170731707315,1.0,0.9474369066894648,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,2,0.0002996346075389,0.4247477398849115,0.409163079530962,0.9970731707317072,1.0,0.9970719766091264,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,3,0.0002985402103112,0.4253104535544791,0.406943779991519,0.9960975609756098,1.0,0.9960999289181942,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,4,0.00029672214011,0.4206344862682063,0.409990333741711,0.9941463414634146,1.0,0.9941445350392876,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,5,0.0002941892543907,0.4291644040549673,0.4157774479158463,0.9946341463414634,1.0,0.9946299034492108,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,6,0.0002909538931178,0.4358826813465211,0.4193706104832311,0.9946341463414634,1.0,0.99463945174088,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,7,0.0002870318186463,0.410577560575997,0.4023281618472069,0.9980487804878048,1.0,0.998048776140284,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,1,8,0.0002824421389288,0.4086486614041212,0.3989182187664893,0.9985365853658535,1.0,0.9985359890300328,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_01/history.csv
ResNet18,2,1,0.0003,0.545354834649621,0.4599593608610092,0.9404878048780488,0.9870967741935484,0.9403691822368933,0.9878341013824884,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_02/history.csv
ResNet18,2,2,0.0002996346075389,0.4342124721480579,0.4789244934435813,0.9926829268292684,0.967741935483871,0.9926829137548556,0.9698591263808656,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_02/history.csv
ResNet18,2,3,0.0002985402103112,0.4236112556806424,0.4370922365496235,0.9985365853658535,0.9870967741935484,0.9985371787997972,0.9852553000093984,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_02/history.csv
ResNet18,2,4,0.00029672214011,0.4119535423488151,0.4064889659804682,0.9965853658536584,1.0,0.996584765895786,1.0,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_02/history.csv
ResNet18,2,5,0.0002941892543907,0.4105129447215941,0.4425199233716534,0.9980487804878048,0.9806451612903224,0.9980481841519838,0.9764254184703204,ResNet18,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/ResNet18/fold_02/history.csv
